time,t_data,ERK_data,NN_approx,NN_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.01603427051069282,0.040875540336621975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.13166787263676752,0.009949682026130491,2.39163753782418e-9,0.11109380570897306,0.11723260969847925,0.02438465449818632,0.0008813700031389515,2.4726855054672462e-5,2.1339450157516252e-10,5.254483609364847e-9,0.11109380570897302,0.11723260969847914,0.022492159583270735,0.000721119059950726,1.748077738537339e-5,1.3382287477398375e-10,3.2214722956827e-9
0.25,2.5,0.5201331008527826,0.002549947611698001,2.4264364626432203e-7,0.20608058766189646,0.3701257994661238,0.13660086931490178,0.009647272431349422,0.0004869639916278916,2.7399137367597122e-8,3.6738483651155985e-7,0.2060805876618964,0.3701257994661236,0.1348983455730009,0.009272194365975952,0.0004519236623521096,2.4562588959195946e-8,3.272645940054293e-7
0.375,3.75,0.7580954601848949,0.00024419923687127873,3.094422305332318e-6,0.2848273957431738,0.620068767634295,0.32199506871307426,0.036258490084135425,0.0027105226249208567,4.375976625400897e-7,4.381968803873885e-6,0.28482739574317384,0.6200687676342953,0.3208843299338727,0.0357428105720227,0.002635524750461751,4.1915935656251267e-7,4.186650363894586e-6
0.5,5.0,0.8145172813755608,2.477146638336582e-5,1.6905414344156033e-5,0.3501107926063164,0.7805265099636269,0.5083395774543727,0.08347886035760378,0.008436032262181311,2.786892096725406e-6,2.3540902065365152e-5,0.35011079260631645,0.7805265099636278,0.5077182141730036,0.08290587465871688,0.00831977379433272,2.726148042426756e-6,2.2998431525454603e-5
0.625,6.25,0.8442898925170457,0.00011914577031934705,5.8042949722723775e-5,0.4042326295395888,0.8527991980687317,0.6397754082140471,0.14514472726274646,0.018890293851431223,1.0642682817113402e-5,8.065830434202328e-5,0.4042326295395887,0.8527991980687316,0.6394656363087057,0.14457123477549474,0.018736378932221912,1.0502436856576765e-5,7.953715228724742e-5
0.75,7.5,0.8301803370055774,0.0024902781113178567,0.00014929031026654306,0.4491012082866828,0.8814774057789646,0.7129419224594434,0.21235665545403357,0.03444807107146067,2.9519418469651255e-5,0.00020792641380539133,0.4491012082866828,0.8814774057789642,0.7127218783905737,0.21181038473864278,0.03426051681948178,2.9256948675273018e-5,0.00020598270304233817
0.875,8.75,0.8473426002360526,0.006968578820714328,0.0003169019844381409,0.48629856655939413,0.8948827594213854,0.7491676306224445,0.27881991409386103,0.054916287115213146,6.612729004572851e-5,0.00044235719742978627,0.486298566559394,0.894882759421385,0.7486346735041471,0.2782893663466602,0.05469717511581824,6.569744525707874e-5,0.00043934561585194014
1.0,10.0,0.8508449049914585,0.004383533263950605,0.0005880287934312388,0.5171362596868604,0.9028742926736203,0.7661305486022286,0.34141233220211376,0.07986766542833415,0.00012756432136006138,0.000821801057330925,0.5171362596868603,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416835,0.0001269193399772347,0.0008174674119632697
1.125,11.25,0.8390034341530925,0.0014975198907455558,0.0009886609791429557,0.5427016052270415,0.9083683185122088,0.7738336986614175,0.3989075284670722,0.10878432326255709,0.00022072856342195723,0.0013823220583003447,0.5427016052270414,0.9083683185122094,0.7734190585132463,0.3983698008981137,0.10849697369966664,0.00021981688654893676,0.0013763931701233005
