time,t_data,ERK_data,NN1,NN2,NN1_GT,NN2_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0,0.665860340035155,0.029791953726720787,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.125,0.00024742813373800033,0.982285009441253,-0.019873777252823747,0.9999999999970256,3.492682139077425e-7,0.9361782531622271,0.8531030861347287,0.20409975917880488,0.007816296974052544,0.00021099684093090377,7.247712465213386e-8,3.9646357451289633e-7,0.9361782531622274,0.8531030861347291,0.22278092576017694,0.008930752308109906,0.00024742813373800033,8.623230252774352e-8,4.716827110516148e-7
0.25,0.25,0.003453751629125977,1.031938900388965,-0.03786217624817836,0.999999996432236,1.2059126855696115e-5,0.97856723110963,0.9497006306415329,0.5222565354568901,0.052574647716220245,0.003207740392195911,2.709802146628364e-6,1.4899419818596197e-5,0.97856723110963,0.9497006306415329,0.5287078234133414,0.055150289988028775,0.003453751629125977,2.986538151629956e-6,1.6420000728346232e-5
0.375,0.375,0.012313039035450274,1.0337078148048056,-0.030284952538538572,0.9999998721912136,7.146311843888587e-5,0.9803168331811496,0.9510825355635494,0.6820220342271334,0.1207635526097085,0.011839248084202034,1.68625743335595e-5,9.270366807176945e-5,0.9803168331811495,0.9510825355635494,0.6803487959396287,0.12329708422126326,0.012313039035450274,1.7875178512567684e-5,9.8265036973815e-5
0.5,0.5,0.02709813754676216,1.0276815370845127,-0.01492989338380862,0.9999987146725902,0.00022465013020581465,0.9803890478831038,0.9511058752212499,0.7499704226881931,0.19464108812702674,0.02647307865945807,5.4551659558572194e-5,0.0002996162535573121,0.9803890478831038,0.95110587522125,0.7459136317102318,0.19659102959507807,0.02709813754676216,5.668617692897131e-5,0.00031132215616918994
0.625,0.625,0.047237248008450715,1.0189611734142792,0.0028271213865658992,0.9999931549228458,0.0005155661284242336,0.9803920285398294,0.9511064900318044,0.7770035084700834,0.26612532760547825,0.04653520402213003,0.00012733364208932554,0.0006985733964671936,0.9803920285398294,0.9511064900318044,0.7724894810157943,0.2674363925904303,0.047237248008450715,0.00013081593948811854,0.0007176364373799541
0.75,0.75,0.07207903580275307,1.0090505448164808,0.021198970642130693,0.9999749284405806,0.0009835480871042716,0.9803921515662257,0.9511065118277804,0.7875401843594654,0.33233454664642087,0.07135702307880196,0.0002454371619866691,0.0013449168751715546,0.9803921515662258,0.9511065118277804,0.7829485790160423,0.33307002924301676,0.07207903580275307,0.0002503606799109451,0.0013718161946493076
0.875,0.875,0.10101293788909467,0.9985859075169101,0.039484413915881915,0.9999280507496764,0.0016627884860918878,0.9803921566441316,0.9511065126906444,0.7916665576398674,0.3925323718218175,0.10031618616792481,0.0004177739802411377,0.002286507480840352,0.9803921566441316,0.9511065126906443,0.787040863180421,0.3927682726855298,0.10101293788909467,0.0004241297778706386,0.002321158203458041
1.0,1.0,0.13343855103276495,0.9878704711046477,0.05739472116858499,0.9998259466002359,0.002582327286698863,0.9803921568537218,0.9511065127258815,0.7933006073393701,0.44676326417762824,0.13280439684549983,0.0006520077798265455,0.0035641669200925097,0.9803921568537218,0.9511065127258814,0.7886721716410272,0.44657258915298764,0.13343855103276495,0.0006597039101441733,0.0036060301501881263
1.125,1.125,0.1687394295314305,0.9770377533809217,0.07481339640325098,0.9996288613863737,0.0037661221255906705,0.9803921568623727,0.951106512727332,0.7939351420713391,0.4953345820105203,0.16819808947702183,0.0009545502874236845,0.005211726237278745,0.9803921568623726,0.951106512727332,0.7893647242523375,0.4947883684952217,0.1687394295314305,0.0009634267079518057,0.005259893850350889
