time,t_data,ERK_data,NN_approx,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0017368984786707536,3.2432972976855754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.38733714903444855,8.145388866340644,0.057216408865998436,0.06057295934056434,0.7623067324777018,0.042205308701269685,0.0015294021396128244,3.984433177487229e-9,1.9257602407347995e-7,0.0572164088710563,0.06057295935331052,0.011538156670976091,0.00036748605097152625,8.872788333473845e-6,1.803707756417656e-11,8.369036625330898e-10
0.25,2.5,0.7158549220264336,8.113382331641231,0.10924485230893237,0.20243269674618858,1.4763742166945375,0.1714378088314009,0.012416033536072244,2.4799428332281496e-7,6.303747972007091e-6,0.10924485231339426,0.20243269676329517,0.07261581371793413,0.004887882516676076,0.00023534717449513547,3.6421277581448035e-9,8.90016229918594e-8
0.375,3.75,0.8052749899099523,8.099698343978762,0.15515979249364661,0.3730801625416971,1.6293006365037823,0.33020304752052543,0.03757340713841966,2.388335145052932e-6,4.317007655119499e-5,0.15515979249758435,0.3730801625592104,0.18719073517109944,0.019858580062823396,0.0014248799171802677,6.904695965791235e-8,1.1998800407293008e-6
0.5,5.0,0.8221677046817589,7.953339086584475,0.195679584989014,0.5347386602319272,1.542728268274867,0.461351114522326,0.07489641172038171,1.0655482097226147e-5,0.00015472848638984108,0.19567958499248933,0.534738660245736,0.33286572214133237,0.04961170287941942,0.004732887864392954,5.018941679026497e-7,7.0008281273968544e-6
0.625,6.25,0.8228036419546214,7.45256358402842,0.23143817635954725,0.6619028742589267,1.4665573842943664,0.5629880990501447,0.12054947866071782,3.1401303349229735e-5,0.0003908521796470191,0.23143817636261296,0.6619028742332934,0.47686852694689374,0.0943754005033659,0.011324471978293803,2.1656530288519023e-6,2.5881852716256863e-5
0.75,7.5,0.8168754898926048,6.572298655285651,0.26299502248483003,0.746680434925731,1.3977220488688062,0.6410459120679753,0.17157453447845056,7.196844480978478e-5,0.000798677719584845,0.2629950224875356,0.7466804345663222,0.5920589333810389,0.1504048211470486,0.022041261962624386,6.736883927427349e-6,7.181160351805815e-5
0.875,8.75,0.809929227163885,5.480448747623186,0.29084384144573117,0.7969785003980229,1.3287963644758547,0.700125249017754,0.22554741441743956,0.00013964417787155418,0.0014183034199704474,0.29084384144811853,0.7969784996438151,0.6692960253294009,0.2121316576525456,0.037278449187918575,1.6766657085059844e-5,0.00016373454342977803
1.0,10.0,0.7983905035822254,4.31794915317838,0.3154203379193641,0.8258477160518629,1.2558020126344742,0.7439820131872434,0.28045004681684127,0.00024085969289012926,0.0022804399746956003,0.31542033792147206,0.8258477145196225,0.7149271711767122,0.2746305276721187,0.05704770937066771,3.554628458638012e-5,0.0003240337439566234
1.125,11.25,0.7816612730361585,3.15763387405509,0.33710901993372744,0.8432983578727622,1.1760097117609236,0.7757178147622411,0.33465991866946504,0.00038069688157993544,0.0034056118632097014,0.33710901993558784,0.8432983555468048,0.7400359444125215,0.334717056967211,0.0811044114057673,6.686501515792605e-5,0.0005767791457320989
1.25,12.5,0.7578577222419922,2.045048384928771,0.35624921463254505,0.8548834456849465,1.088108101225639,0.7978368937682475,0.38693175716638134,0.0005626777281119913,0.004804512490649138,0.35624921463418724,0.854883440666669,0.7535710389414472,0.3907664005234109,0.10904819394384908,0.00011474432256176573,0.0009461750012083374
1.375,13.75,0.723435005737844,1.032794754696784,0.3731403771691174,0.8632591044596749,0.9931790819887436,0.8123218954811521,0.43635985170514613,0.0007887666573940414,0.0064790796182831204,0.3731403771705672,0.8632590954750545,0.7610284947148901,0.4421392225461816,0.14038161072429778,0.0001831932899039006,0.0014553046261005103
1.5,15.0,0.6535348635661313,0.1938119541841047,0.38804677578869506,0.8696724126632691,0.8962288128060248,0.8207613141673396,0.48233242058144926,0.001059511141769418,0.00842394014034458,0.38804677578997554,0.8696724013213185,0.7653688243001363,0.4887187287826242,0.1745447869389778,0.0002760015875090621,0.0021251517611303307
1.625,16.25,0.5488770749865686,-0.4121589814892385,0.40120162639916285,0.8747575798327571,0.8061930192941256,0.8245190362684295,0.5244887953147762,0.0013742600760408348,0.010627988909506753,0.4012016264002947,0.8747575668736731,0.7680897249291712,0.530640307445833,0.21094111802428392,0.0003965753609261274,0.0029738711631509453
1.75,17.5,0.42396818832211436,-0.7930121356436974,0.4128107413168657,0.878879165276155,0.7316990159837694,0.8248522228979718,0.562681803422994,0.0017314175515362026,0.013075962346106721,0.41281074131786444,0.8788791506984652,0.7699318111390095,0.5681546590811299,0.2489599021060188,0.0005478170731781067,0.004016291077792835
1.875,18.75,0.3043628277981707,-1.0132184414026617,0.42305574927348527,0.8822706884311199,0.6761373275130897,0.8228916205253722,0.5969386361705051,0.0021287016340136846,0.015749909534161544,0.42305574927436834,0.8822706730648902,0.7712630894314415,0.6015625989984783,0.28799689183912813,0.0007320476622246772,0.005263630555908694
2.0,20.0,0.20257928503109,-1.1389540854343791,0.4320969370621554,0.8850932274568658,0.6376050256757853,0.8195539503069399,0.6274157710099294,0.002563383361576748,0.018630468591754018,0.43209693706293745,0.8850932103103587,0.772271232220642,0.6311840491630636,0.32747231115358866,0.0009509672572626584,0.00672340889621872
2.125,21.25,0.3740819521943584,-1.2133171740726183,0.4400757572813426,0.8874632782758999,0.6119557696770218,0.8155032546895641,0.6543533489012128,0.0030324883624326102,0.021697881786966203,0.4400757572820354,0.8874632571874028,0.7730559738164524,0.6573424036597857,0.36684583691690453,0.0012056492502711086,0.00839951886083201
