time,NN_approx,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.6037392567110929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,35.92587184319787,0.11109380571068264,0.11723260969896827,1.7428486944471335,0.0483154067707971,0.001032463375937927,7.462864627212666e-9,1.7988726758047792e-7,0.11109380570897304,0.11723260969847915,0.022492159583270745,0.0007211190599507267,1.748077738537341e-5,1.3382287477398398e-10,3.2214722956827065e-9
0.25,38.93545308860405,0.20608058766331347,0.3701257994689025,1.9088308640766118,0.2601424596444208,0.01841494938829008,1.1942640959413033e-6,1.6135199887906537e-5,0.20608058766189646,0.37012579946612373,0.13489834557300093,0.009272194365975955,0.0004519236623521098,2.4562588959195975e-8,3.2726459400542956e-7
0.375,41.05386638418342,0.28482739574434857,0.6200687676370036,1.8625693301312936,0.4297617049943962,0.05323393811420345,1.1237901979739011e-5,0.00011554441478544415,0.28482739574317384,0.6200687676342953,0.3208843299338729,0.03574281057202271,0.002635524750461752,4.1915935656251315e-7,4.18665036389459e-6
0.5,41.53340317665052,0.35011079260729067,0.7805265099669106,1.8341706880431816,0.5628979344881958,0.09977122689660012,4.484633501432295e-5,0.0003909183476277894,0.35011079260631633,0.7805265099636276,0.5077182141730038,0.0829058746587169,0.008319773794332724,2.7261480424267564e-6,2.2998431525454613e-5
0.625,41.26735178507407,0.4042326295403961,0.8527991980702945,1.8202923648806135,0.6655030965444257,0.15421071005732745,0.00011932414838717462,0.0009330096333765416,0.40423262953958866,0.8527991980687315,0.6394656363087058,0.14457123477549488,0.018736378932221926,1.0502436856576769e-5,7.953715228724748e-5
0.75,40.24218095115312,0.4491012082873522,0.8814774057795332,1.811310858269494,0.7426811505032234,0.21332293103792607,0.00025073888419879895,0.0018182872940889357,0.4491012082866827,0.881477405778964,0.7127218783905733,0.21181038473864283,0.03426051681948177,2.9256948675272988e-5,0.00020598270304233792
0.875,37.92142993486734,0.486298566559949,0.8948827594216242,1.7993190183495613,0.7990865109490761,0.2743053346116613,0.00045166335531365495,0.003102501441025738,0.4862985665593941,0.8948827594213848,0.748634673504147,0.27828936634666035,0.054697175115818245,6.569744525707869e-5,0.00043934561585194
1.0,33.15086966826071,0.5171362596873204,0.9028742926737651,1.7747208970326958,0.8390288150601558,0.3348655919041763,0.0007303154772529582,0.0048189290262971194,0.5171362596868604,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416836,0.00012691933997723473,0.0008174674119632697
1.125,24.18015506878272,0.5427016052274227,0.908368318512565,1.7135224740537724,0.8661268784660637,0.39325767507047965,0.0010906561487013713,0.006979972758764078,0.5427016052270414,0.9083683185122093,0.7734190585132465,0.3983698008981138,0.10849697369966664,0.00021981688654893679,0.0013763931701233003
1.25,6.993599389435739,0.5638960210965113,0.9123920093954575,1.4826538998673113,0.882183728659134,0.44820734865577166,0.0015329872621920805,0.009580508617602842,0.5638960210961951,0.9123920093921822,0.7773813066865475,0.45052362966919596,0.14077638232657974,0.00035070066186912094,0.002148701226156357
1.375,-3.556146441934781,0.5814668089948103,0.9154356388059174,0.8418942310241895,0.8830931194108237,0.4985966637402722,0.0020546059404870356,0.012601081982245155,0.5814668089945478,0.9154356387977362,0.7795344276882172,0.49746161928042465,0.175852029504926,0.0005250542245162079,0.003162410421889389
1.5,-2.4221204253603577,0.5960335037918718,0.9177858957484207,0.5645793572139473,0.8720849863513934,0.543415286754188,0.0026501672896831,0.016009340167046075,0.5960335037916544,0.9177858957043223,0.7808405278262658,0.5394677191104348,0.21309931244554997,0.0007473877647149402,0.0044403009218858345
1.625,-1.9922416871941278,0.6081097179342825,0.9196278683936998,0.5012088184259116,0.8586423984327458,0.5826156004742838,0.00331264363693143,0.0197650358614021,0.6081097179341028,0.9196278680567708,0.7817249716118055,0.5768835625110179,0.2518875393258679,0.0010211660516311818,0.00599957961354137
1.75,-1.8520402291098352,0.6181212510957228,0.9210877760330916,0.49151916194609535,0.8458070864515874,0.6166879665479976,0.00403462538723638,0.02382698609721113,0.6181212510955741,0.9210877754987777,0.7823791925651457,0.6100687190137611,0.2915983188192819,0.0013487955525852053,0.007851839038181919
1.875,-1.7886687795579275,0.6264211036041837,0.9222549832851761,0.49447477156333963,0.8342680981477371,0.646214431222496,0.004808952602075895,0.028156195830972626,0.6264211036040628,0.9222549789488909,0.7828910782160384,0.6393835943687275,0.3316427445833159,0.001731658004689907,0.010003255607795244
2.0,-1.7475433207766504,0.6333019230102966,0.923194586831103,0.4997521429636425,0.824079888680857,0.6717503302644566,0.005628963057446522,0.03271691129926357,0.6333019230102025,0.9231945789305793,0.7833009439265007,0.6651809716356861,0.3714759170019916,0.0021701789344111735,0.012454970588391229
2.125,-1.714213646840642,0.6390063226549023,0.9239551017859287,0.5047873889440985,0.8151309523181782,0.6937983845528926,0.006488588449608548,0.037476927984712166,0.6390063226548333,0.923955093483014,0.7836258942558683,0.6878008967664052,0.41060822592584256,0.0026639208822179243,0.015203600106425182
2.25,-1.6845862656515629,0.6437354360620151,0.9245733662754303,0.5090082946271677,0.8072762398318636,0.7128062358718449,0.0073823797515679196,0.04240758268928194,0.6437354360619698,0.9245733553467598,0.7838708000849787,0.7075670529786181,0.448613314330896,0.0032116925229514377,0.018241826788971672
2.375,-1.657295577535867,0.6476560087796845,0.9250777667872092,0.5123461622342993,0.8003738778736277,0.7291697769659107,0.008305495077071665,0.047483591538255265,0.6476560087796635,0.925077751950245,0.7840335728617903,0.7247840505293451,0.4851328824267904,0.0038116663320524177,0.021559033407781838
2.5,-1.6317223012435451,0.6509062777225726,0.9254904591326041,0.5148518963278671,0.7942944305317617,0.743237691760174,0.00925366677847917,0.052682809145653854,0.6509062777225751,0.9254904358248127,0.7841079619225803,0.7397354866109799,0.5198785969541436,0.004461498802935115,0.025141946544429045
2.625,-1.6074785120057737,0.6536008453181439,0.925828904614342,0.5165983177029637,0.7889224139906899,0.7553160534917326,0.010223157475616076,0.0579859505858626,0.6536008453181664,0.9258288728296775,0.7840852304831701,0.7526827355719874,0.5526314187185748,0.005158448413458523,0.028975265086733763
2.75,-1.5842719343008214,0.6558347203157794,0.9261069800088425,0.5176562535980915,0.7841556831882837,0.7656727057509064,0.011210711085692542,0.06337630161949395,0.6558347203158169,0.9261069516161553,0.7839552816261661,0.7638644257536403,0.5832386932523721,0.005899487569413066,0.03304225412570789
2.875,-1.5618675135556486,0.657686667735185,0.9263358069253959,0.5180894685482144,0.779904278596021,0.7745413622664072,0.012213502737579146,0.06883943316507718,0.6576866677352444,0.9263357947014735,0.7837074766540195,0.773496529373759,0.611609380605863,0.00668140565024297,0.037325289679369426
3.0,-1.5400738886062757,0.6592219860711895,0.9265243776565015,0.5179543026681043,0.7760891862447685,0.7821254083820461,0.013229090018040322,0.07436292984515021,0.6592219860712887,0.9265243618688052,0.7833312507158577,0.7817729663463012,0.6377078313168495,0.007500901083438346,0.04180634386679195
3.125,-1.5187363089546095,0.6604948096774224,0.9266799401877697,0.5173003965569996,0.7726411444803952,0.788601398461795,0.014255367023151866,0.07993613824691347,0.6604948096775457,0.9266799060063787,0.7828165741792206,0.7888666101322579,0.6615465394114463,0.00835466110670424,0.04646740390917395
3.25,-1.4977314475334444,0.6615500175093129,0.9268083355681479,0.5161715630077525,0.7694995378414433,0.7941222488139137,0.015290522023597505,0.08554993767837693,0.6615500175094402,0.9268083221251938,0.782154286155747,0.794930583413174,0.6831783105280885,0.009239428552405407,0.05129082176632228
3.375,-1.4769632482228041,0.6624248155276375,0.9269144256207275,0.5146066132939077,0.7666113874056036,0.7988201307805376,0.01633299910412256,0.09119653427891249,0.6624248155278126,0.9269144177351938,0.7813363188898352,0.8000997403201213,0.7026882667817708,0.010152055601845586,0.056259594340399406
3.5,-1.456358879782384,0.6631500485573812,0.9270021392067134,0.5126400644976934,0.7639304405165719,0.8028090733340194,0.017381463841832628,0.09686927809134818,0.66315004855757,0.9270021244412754,0.7803558296273135,0.8044922464133409,0.720186067457843,0.011089544991477351,0.06135757692585159
3.625,-1.4358651787200736,0.663751287856517,0.927074668443938,0.5103027165527182,0.7614163547629371,0.8061872889952362,0.01843477289960075,0.10256250192378633,0.663751287856705,0.9270746650010652,0.7792072562298936,0.8082111844149267,0.7357986591904562,0.012049079589526265,0.06656963485128076
3.75,-1.415446084346415,0.6642497327424582,0.9271346910666337,0.5076222450172804,0.759033965307417,0.8090392402559301,0.019491947297694066,0.10827138038401427,0.6642497327426823,0.9271346862219539,0.7778863125345743,0.8113461305404963,0.7496637884978506,0.013028041584147153,0.0718817399532776
3.875,-1.3950792788295145,0.6646629580667637,0.9271843692955469,0.5046235253691267,0.7567526412175385,0.8114374652508859,0.02055214906624175,0.11399180725795813,0.6646629580669656,0.9271843653710184,0.7763899386690543,0.8139746616976352,0.7619244232138913,0.014024022726702357,0.0772810195971128
4.0,-1.3747542654787526,0.6650055338929521,0.9272254967847365,0.5013290766883245,0.7545457077506637,0.8134441836501505,0.02161466095397981,0.11972028933638552,0.6650055338931661,0.9272254958499623,0.7747162201277968,0.8161637670535308,0.7727241471102139,0.015034827160750995,0.08275576642810097
4.125,-1.3544703263061524,0.665289539228058,0.9272595602008623,0.49775937996301733,0.7523899381307957,0.8151127030317823,0.0226788688666391,0.12545385483807858,0.6652895392282709,0.9272595565009906,0.7728642875265754,0.8179711482564404,0.7822035214302666,0.0160584683535164,0.08829541697017518
4.25,-1.3342341477126403,0.6655249879205954,0.9272877676998299,0.4939330307112426,0.7502651105784924,0.8164886459518662,0.023744246719624176,0.13118997467612156,0.6655249879207913,0.927287767894909,0.770834206807021,0.8194464009842564,0.7904973526964033,0.01709316155339943,0.09389050669440538
4.375,-1.3140592351242115,0.6657201817425226,0.9273111366702163,0.4898671503871984,0.7481536061953259,0.8176110177517365,0.024810343408919994,0.13692649494337236,0.6657201817427283,0.9273111382007834,0.7686268674763533,0.8206320767316625,0.7977327694270504,0.018137313048846644,0.09953260838792223
4.5,-1.2939634706303091,0.6658820031046251,0.9273305103754294,0.48557735652108897,0.746040072131917,0.8185131322213798,0.025876771630754903,0.1426615791538887,0.6658820031048029,0.9273305006715967,0.7662438744163607,0.8215646281625946,0.804027990203814,0.019189507324177534,0.10521425968931027
4.625,-1.2739689121020263,0.6660161577257229,0.9273465503617491,0.48107812386194715,0.7439111095298393,0.8192234131859055,0.026943198304524674,0.14839365891699158,0.6660161577259065,0.927346544351242,0.763687446995749,0.8222752442929854,0.8094916591143735,0.020248493017161837,0.1109288846299014
4.75,-1.254100199116087,0.6661273758129791,0.9273597655630674,0.4763827946679342,0.7417550128245427,0.8197660861848107,0.028009336382560267,0.1541213918848081,0.6661273758131397,0.9273598392789951,0.7609603277298653,0.8227905835558778,0.8142226284905623,0.021313168396906026,0.1166707130168996
4.875,-1.234384014656364,0.6662195788457668,0.9273708417309003,0.47150369623969923,0.7395615361249627,0.8201617747997788,0.029074937853804966,0.159843625944492,0.6662195788459245,0.927370857211964,0.7580657015634118,0.8231334137227834,0.8183100795728289,0.022382566909688706,0.12243470057260483
5.0,-1.214848576961034,0.6662960178447449,0.9273804597974292,0.4664523180297932,0.7373216866933122,0.8204280137717561,0.030139787773113352,0.16555936876156171,0.6662960178448877,0.9273799886863784,0.7550071259851081,0.8233231679500871,0.8218338862200103,0.02345584319100915,0.12821645193846778
5.125,-1.1955218319561562,0.6663593880006611,0.9273875312086036,0.46123947354462597,0.7350275493121552,0.8205796895707826,0.03120369916978829,0.1712677618997681,0.6663593880007926,0.9273875570808777,0.7517884715788293,0.8233764260787825,0.8248651426706828,0.024532259816860576,0.13401214797764677
5.25,-1.1764329561873308,0.6664119237051433,0.9273925680595893,0.4558751531641895,0.7326721302983261,0.820629418679481,0.032266508707182666,0.17696805884097308,0.6664119237052615,0.9273938302198754,0.748413872226469,0.8233073298884769,0.8274667919752252,0.02561117496604523,0.13981847826501936
5.375,-1.1576119561584863,0.6664554773339093,0.9273994447512937,0.45036825933541785,0.7302492323046071,0.8205878712401511,0.03332807298448934,0.1826596063323358,0.6664554773340103,0.9273990299550154,0.7448876839558308,0.8231279404044831,0.8296943060086316,0.026692031086419255,0.145632579229597
