time,t_data,ERK_data,NN1,NN2,NN3,NN1_GT,NN2_GT,NN3_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.003934081897393677,0.016524935259541136,0.17176288973148177,0.6971228838396973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.20404584946321844,0.018266736582778845,0.19947309677812297,0.7708011499917177,3.492682139077425e-7,0.5481352368416821,0.9361782531622274,0.9361782531622274,0.853103086134729,0.22438158962791335,0.009036098042693294,0.00025168372976211846,3.2724052118330475e-8,4.0856165707345086e-7,0.9361782531622274,0.8531030861347291,0.22278092576017694,0.008930752308109906,0.00024742813373800033,8.623230252774352e-8,4.716827110516148e-7
0.25,2.5,0.5807376097619192,0.018776175732742588,0.20431221334850397,0.7808798065219036,1.2059126855696115e-5,0.5699644931107956,0.97856723110963,0.9785672311096298,0.9497006306415329,0.5311698123023162,0.05549453290062404,0.0034810896000733397,1.0844006156301999e-6,1.3308712721535892e-5,0.97856723110963,0.9497006306415329,0.5287078234133414,0.055150289988028775,0.003453751629125977,2.986538151629956e-6,1.6420000728346232e-5
0.375,3.75,0.7742004091249218,0.018785810532911656,0.20433976147638,0.781739712387334,7.146311843888587e-5,0.5708399479967343,0.9803168331811495,0.9803168331811494,0.9510825355635494,0.6830510577656486,0.12390793652193194,0.012386659093171087,6.452313892844134e-6,7.900330860162996e-5,0.9803168331811495,0.9510825355635494,0.6803487959396287,0.12329708422126326,0.012313039035450274,1.7875178512567684e-5,9.8265036973815e-5
0.5,5.0,0.8248829283589245,0.018742152066065904,0.20370223513015506,0.7818463057955138,0.00022465013020581465,0.5708760392760895,0.9803890478831038,0.9803890478831038,0.95110587522125,0.7485674277867824,0.19743582217029906,0.027238276316136734,2.0398848921940967e-5,0.00024984806337755396,0.9803890478831038,0.95110587522125,0.7459136317102318,0.19659102959507807,0.02709813754676216,5.668617692897131e-5,0.00031132215616918994
0.625,6.25,0.8394109859304052,0.01865929068934827,0.20263974004963659,0.7813299227449728,0.0005155661284242336,0.5708775288677752,0.9803920285398294,0.9803920285398293,0.9511064900318044,0.7750287362418201,0.2684667941949835,0.04746018140588626,4.69079017231182e-5,0.000575366721000958,0.9803920285398294,0.9511064900318044,0.7724894810157943,0.2674363925904303,0.047237248008450715,0.00013081593948811854,0.0007176364373799541
0.75,7.5,0.8357076768815827,0.018548313380067773,0.20127307800473374,0.7803244354106516,0.0009835480871042716,0.5708775903504422,0.9803921515662258,0.9803921515662257,0.9511065118277804,0.7853752969763329,0.33424028411747286,0.07239722075267338,8.938475529836358e-5,0.0010987455978131843,0.9803921515662258,0.9511065118277804,0.7829485790160423,0.33307002924301676,0.07207903580275307,0.0002503606799109451,0.0013718161946493076
0.875,8.75,0.8359285045392544,0.01841936160360422,0.19969888873962216,0.7789532011404506,0.0016627884860918878,0.5708775928881347,0.9803921566441316,0.9803921566441316,0.9511065126906443,0.7893594410077914,0.39403810144106644,0.10143468599475455,0.00015066117751642868,0.001856887540983835,0.9803921566441316,0.9511065126906443,0.787040863180421,0.3927682726855298,0.10101293788909467,0.0004241297778706386,0.002321158203458041
1.0,10.0,0.8267108863813417,0.018281394003094496,0.19800061761714075,0.7773267177081311,0.002582327286698863,0.5708775929928778,0.9803921568537218,0.9803921568537218,0.9511065127258814,0.7908772792825568,0.4479062478828139,0.13396756632626472,0.00023303386785829684,0.002880739779308522,0.9803921568537218,0.9511065127258814,0.7886721716410272,0.44657258915298764,0.13343855103276495,0.0006597039101441733,0.0036060301501881263
1.125,11.25,0.8031906923279883,0.01814204046381012,0.19624934306144962,0.7755446812907639,0.0037661221255906705,0.570877592997201,0.9803921568623726,0.9803921568623726,0.951106512727332,0.7914452556363201,0.49615387022538965,0.16937460866221113,0.0003382911672850415,0.004195395873817865,0.9803921568623726,0.951106512727332,0.7893647242523375,0.4947883684952217,0.1687394295314305,0.0009634267079518057,0.005259893850350889
