time,t_data,ERK_data,NN1,NN2,NN3,NN1_GT,NN2_GT,NN3_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.003934081897393677,0.6422600523514563,0.05528422317956313,0.981738563765041,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.20404584946321844,0.9055519894873552,0.0040972322055481646,0.9827079273541833,0.9999999999970256,3.492682139077425e-7,1.0,0.9361782531622274,0.853103086134729,0.19232661542688,0.007444347418737394,0.00020311204957563272,7.053905356743155e-8,3.8587123874121e-7,0.9361782531622274,0.8531030861347291,0.22278092576017694,0.008930752308109906,0.00024742813373800033,8.623230252774352e-8,4.716827110516148e-7
0.25,2.5,0.5807376097619192,0.963339921349902,0.003231554851139767,0.960380732006783,0.999999996432236,1.2059126855696115e-5,1.0,0.97856723110963,0.9497006306415329,0.49900974008371957,0.04987656603969034,0.0030401962176230305,2.573738996404787e-6,1.4151139461310217e-5,0.97856723110963,0.9497006306415329,0.5287078234133414,0.055150289988028775,0.003453751629125977,2.986538151629956e-6,1.6420000728346232e-5
0.375,3.75,0.7742004091249218,0.9773090764637565,0.0034095227128211718,0.9484627308343171,0.9999998721912136,7.146311843888587e-5,1.0,0.9803168331811494,0.9510825355635493,0.6665149511144978,0.11602386759328598,0.011290410907725246,1.6030597953841122e-5,8.812990621754364e-5,0.9803168331811495,0.9510825355635494,0.6803487959396287,0.12329708422126326,0.012313039035450274,1.7875178512567684e-5,9.8265036973815e-5
0.5,5.0,0.8248829283589245,0.9807528678187788,0.0037357580309334373,0.9419290254458178,0.9999987146725902,0.00022465013020581465,1.0,0.9803890478831039,0.95110587522125,0.744121603178441,0.18921664081573808,0.02546235678192789,5.214774456421843e-5,0.00028641667445488745,0.9803890478831038,0.95110587522125,0.7459136317102318,0.19659102959507807,0.02709813754676216,5.668617692897131e-5,0.00031132215616918994
0.625,6.25,0.8394109859304052,0.9804491534650673,0.004091206227056048,0.9377258968894241,0.9999931549228458,0.0005155661284242336,1.0,0.9803920285398292,0.9511064900318044,0.7772551278678165,0.26097394404850777,0.04509589118962405,0.00012244833488706677,0.0006717874636642304,0.9803920285398294,0.9511064900318044,0.7724894810157943,0.2674363925904303,0.047237248008450715,0.00013081593948811854,0.0007176364373799541
0.75,7.5,0.8357076768815827,0.9785707121208369,0.004467369916913365,0.9341703738411276,0.9999749284405806,0.0009835480871042716,1.0,0.9803921515662257,0.9511065118277804,0.7908687739804672,0.3278907187668089,0.06956905716428896,0.0002372853474034061,0.001300291135780684,0.9803921515662258,0.9511065118277804,0.7829485790160423,0.33307002924301676,0.07207903580275307,0.0002503606799109451,0.0013718161946493076
0.875,8.75,0.8359285045392544,0.9759357246562087,0.0048716280630648435,0.9305413808795633,0.9999280507496764,0.0016627884860918878,1.0,0.9803921566441316,0.9511065126906444,0.7964324148555657,0.38892396101770116,0.09827113286913214,0.0004057483307279252,0.0022207844247776783,0.9803921566441316,0.9511065126906443,0.787040863180421,0.3927682726855298,0.10101293788909467,0.0004241297778706386,0.002321158203458041
1.0,10.0,0.8267108863813417,0.9728800101548729,0.005308567310816998,0.9265830881241924,0.9998259466002359,0.002582327286698863,1.0,0.9803921568537218,0.9511065127258814,0.7987856931329536,0.44398146958185086,0.1305922914437043,0.0006356863970754292,0.003475119946204988,0.9803921568537218,0.9511065127258814,0.7886721716410272,0.44657258915298764,0.13343855103276495,0.0006597039101441733,0.0036060301501881263
1.125,11.25,0.8031906923279883,0.9695350477836774,0.005778768289691719,0.9222394087164789,0.9996288613863737,0.0037661221255906705,1.0,0.9803921568623727,0.951106512727332,0.799893616571644,0.49332114622474216,0.16590284425627808,0.0009336879303207187,0.005098103878519924,0.9803921568623726,0.951106512727332,0.7893647242523375,0.4947883684952217,0.1687394295314305,0.0009634267079518057,0.005259893850350889
1.25,12.5,0.7634679536416834,0.9659357738783344,0.006280000441357334,0.9175367917827515,0.9992818811368223,0.005233044152970771,1.0,0.9803921568627297,0.9511065127273919,0.80053567516812,0.5373189323307516,0.20355232976844126,0.0013050382765814948,0.007117337277594674,0.9803921568627297,0.9511065127273919,0.7897018568565958,0.5378024816888881,0.20628066414088198,0.0013403683528004995,0.00730917792967726
1.375,13.75,0.7113719579533481,0.9620694481216915,0.006808219247927716,0.9125353506036137,0.9987138499941811,0.006996883134946046,1.0,0.9803921568627444,0.9511065127273943,0.8010103250751514,0.5763835755673258,0.242882518835085,0.001753691348076373,0.009553133776103737,0.9803921568627445,0.9511065127273943,0.789900777360194,0.5760199115154901,0.24542103770838541,0.001794300920917516,0.009773214259140049
1.5,15.0,0.6368562846774745,0.9579006507906487,0.007358240012320303,0.9073081726262693,0.997837402813076,0.009066446779475476,1.0,0.9803921568627451,0.9511065127273944,0.8014212222031947,0.6109259948117263,0.2832457573886417,0.0022822741226079667,0.012418611962018294,0.9803921568627451,0.9511065127273944,0.7900351308801332,0.6098421908140969,0.2855305507251338,0.0023277049584993713,0.01266433943665141
1.625,16.25,0.5542519524588387,0.9533854516029797,0.007924235613520765,0.9019317876414854,0.9965502386470378,0.011445785404668037,1.0,0.9803921568627451,0.9511065127273944,0.8017930948582839,0.6413478656539282,0.32402334808230177,0.002892128843533625,0.015719983178411796,0.9803921568627451,0.9511065127273944,0.7901209356223721,0.6396595832947664,0.3260080056844669,0.002941812113128213,0.01598818248536582
1.75,17.5,0.44544665573607506,0.9484800174350843,0.008500146791465683,0.8964811006970269,0.9947376591485986,0.014134536000892243,1.0,0.9803921568627451,0.9511065127273944,0.8021191264577925,0.668036543994749,0.36464144228863543,0.0035833900253205288,0.019457014881510352,0.9803921568627451,0.9511065127273944,0.790149878030841,0.6658473680911049,0.366296185844115,0.00363668103478773,0.019744119816652285
1.875,18.75,0.33621047813987387,0.9431458840695416,0.009080034269619463,0.891026293797193,0.9922762910458918,0.0171283627502042,1.0,0.9803921568627451,0.9511065127273944,0.8023807604948439,0.6913619428669339,0.40458349476764743,0.004355090038494965,0.023623633742847646,0.9803921568627451,0.9511065127273944,0.790102487836439,0.688763223581028,0.4058937237657381,0.004411300540579575,0.02392586310262321
2.0,20.0,0.22474818284853595,0.9373529264302219,0.009658374277898186,0.8856308079545671,0.9890388091367944,0.02041946582600496,1.0,0.9803921568627452,0.9511065127273944,0.8025562389402178,0.7116740705219552,0.4433991038827884,0.005205286022045283,0.028208629359834064,0.9803921568627451,0.9511065127273944,0.7899536896205486,0.7087449839549066,0.4443635020657016,0.005263713072947543,0.02852214261267504
