time,t_data,ERK_data,NN1,NN2,NN3,NN1_GT,NN2_GT,NN3_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0046087582856802626,-0.24140802865387523,-0.553505687598641,0.7089892479693004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.20366258934445608,-0.053936525929658086,-0.8701261298010422,0.9324183668862316,3.492682139077425e-7,0.5481352368416821,0.9361782531622274,0.9361782531622275,0.8531030861347291,0.21313763410067937,0.008085902654320621,0.00020862421317522213,-1.0904275460031863e-7,3.7327838514544915e-7,0.9361782531622274,0.8531030861347291,0.22278092576017694,0.008930752308109906,0.00024742813373800033,8.623230252774352e-8,4.716827110516148e-7
0.25,2.5,0.5807483185603659,-0.0198761296873382,-0.8259983492314948,0.908153165220569,1.2059126855696115e-5,0.5699644931107956,0.97856723110963,0.9785672311096301,0.9497006306415329,0.5210129882424477,0.05331721187004567,0.003274734512324931,-4.09500251081279e-6,1.4312540965228521e-5,0.97856723110963,0.9497006306415329,0.5287078234133414,0.055150289988028775,0.003453751629125977,2.986538151629956e-6,1.6420000728346232e-5
0.375,3.75,0.7745683051743338,-0.00397081916336843,-0.791382054302389,0.8889797362822982,7.146311843888587e-5,0.5708399479967343,0.9803168331811495,0.9803168331811494,0.9510825355635494,0.6760327266093792,0.12095017964278411,0.0119436131740941,-2.430708605423267e-5,8.639714021032049e-5,0.9803168331811495,0.9510825355635494,0.6803487959396287,0.12329708422126326,0.012313039035450274,1.7875178512567684e-5,9.8265036973815e-5
0.5,5.0,0.8245054360423095,0.004187476810127967,-0.7646763430804395,0.8741794432317874,0.00022465013020581465,0.5708760392760895,0.9803890478831038,0.9803890478831038,0.9511058752212499,0.7442050580663787,0.19415048717824374,0.026536271163483054,-7.576694852269986e-5,0.0002730654142147937,0.9803890478831038,0.95110587522125,0.7459136317102318,0.19659102959507807,0.02709813754676216,5.668617692897131e-5,0.00031132215616918994
0.625,6.25,0.8387177333731608,0.009003575560055745,-0.7430480124151554,0.8622457301546502,0.0005155661284242336,0.5708775288677752,0.9803920285398294,0.9803920285398293,0.9511064900318044,0.7723600709525208,0.26514600664027455,0.04650238953540265,-0.0001717546506070417,0.0006262059042216767,0.9803920285398294,0.9511064900318044,0.7724894810157943,0.2674363925904303,0.047237248008450715,0.00013081593948811854,0.0007176364373799541
0.75,7.5,0.8325933715879903,0.01266716911504092,-0.7243417204616782,0.852033944463209,0.0009835480871042716,0.5708775903504422,0.9803921515662258,0.9803921515662257,0.9511065118277804,0.7837362385415888,0.3310430314985779,0.07119839956970384,-0.000323112226146088,0.001189968702238444,0.9803921515662258,0.9511065118277804,0.7829485790160423,0.33307002924301676,0.07207903580275307,0.0002503606799109451,0.0013718161946493076
0.875,8.75,0.8325652010751358,0.01612279703292498,-0.7074090552221232,0.8429219708949465,0.0016627884860918878,0.5708775928881347,0.9803921566441316,0.9803921566441316,0.9511065126906444,0.7884118248989761,0.39104835364319934,0.10001711750343527,-0.0005384425002997103,0.0020012186995314618,0.9803921566441316,0.9511065126906443,0.787040863180421,0.3927682726855298,0.10101293788909467,0.0004241297778706386,0.002321158203458041
1.0,10.0,0.8270867840206297,0.019743184891344554,-0.6916612451229557,0.8345767528391631,0.002582327286698863,0.5708775929928778,0.9803921568537218,0.9803921568537218,0.9511065127258815,0.7904781310772688,0.44517063711265803,0.13236000974535336,-0.0008243240760692608,0.0030901329497899878,0.9803921568537218,0.9511065127258814,0.7886721716410272,0.44657258915298764,0.13343855103276495,0.0006597039101441733,0.0036060301501881263
1.125,11.25,0.8164494259639636,0.023656924566261485,-0.6767768587647178,0.826805861966428,0.0037661221255906705,0.570877592997201,0.9803921568623726,0.9803921568623727,0.951106512727332,0.7915445818351798,0.493699957252547,0.16761135670022215,-0.001185435564831103,0.004480453936321229,0.9803921568623726,0.951106512727332,0.7893647242523375,0.4947883684952217,0.1687394295314305,0.0009634267079518057,0.005259893850350889
