time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,0.0006867800156916791,0.9946100588429825,-0.0006243490911781932,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.0042196793722813495,0.9946100775903941,-0.0005357343425561348,0.0008275580230638247,0.00039465529191444004,1.0706549925802252e-6,0.0008231208909676325,0.00039291724248403736,1.0665919037347408e-6
0.25,2.5,0.009303626122585966,0.9946101537226174,-0.00046949232334993836,0.0008293715721083109,0.0008657076291357387,5.005441871452585e-6,0.0008248651043471683,0.0008614047422251338,4.9825344980451694e-6
0.375,3.75,0.014331997704959227,0.9946102324440078,-0.00040090968810075576,0.0008293755135453205,0.0013369138241239639,1.1878365668758779e-5,0.0008248688306748627,0.001330032800625896,1.1820560235318408e-5
0.5,5.0,0.018327806754701192,0.9946103136228956,-0.0003299356797695691,0.0008293754544178801,0.0018081035562970272,2.1685799868705172e-5,0.0008248688386350058,0.0017986405650005372,2.157702408397084e-5
0.625,6.25,0.023560190907905783,0.994610397247435,-0.00025657385876301384,0.0008293753844781812,0.00227927380925298,3.442392240728255e-5,0.0008248688386515593,0.0022672271783819127,3.424810742010014e-5
0.75,7.5,0.027510732105086783,0.9946104833058095,-0.00018082791002672538,0.0008293753115050099,0.0027504218497882015,5.008888592950083e-5,0.0008248688386509158,0.002735791983127105,4.982997963453997e-5
0.875,8.75,0.032946790447678335,0.9946105717859689,-0.00010270152320544562,0.0008293752352104361,0.003221544860567019,6.867681769186567e-5,0.0008248688386826178,0.0032043341824131823,6.831879764092596e-5
1.0,10.0,0.037838771399648474,0.9946106626756286,-2.2198391662006128e-5,0.0008293751848125439,0.003692639938474623,9.018381910345972e-5,0.0008248688383455859,0.003672852842369945,8.971070505622242e-5
1.125,11.25,0.04208792510718224,0.9946107559622787,6.0677783480193004e-5,0.0008293750920232034,0.004163704108219122,0.00011460596526362094,0.000824868838971275,0.004141346894635216,0.00011400183139918034
1.25,12.5,0.046000704367754115,0.9946108516331724,0.00014592329950352862,0.0008293749986507337,0.004634734304814516,0.0001419393045433847,0.0008248688386345542,0.004609815139513492,0.00014118829130619628
1.375,13.75,0.05065601484447901,0.9946109496753363,0.0002335344478258434,0.0008293749216521038,0.00510572738784579,0.0001721798581461378,0.000824868838590467,0.005078256248021543,0.0001712661837659573
1.5,15.0,0.05453446690431952,0.9946110500755722,0.000323507513359245,0.0008293748378803328,0.005576680144580231,0.00020532361969017543,0.0008248688386683545,0.005546668764897773,0.0002042315913703735
1.625,16.25,0.060052250485749255,0.9946111528204545,0.0004158387764297008,0.00082937475189097,0.006047589285325389,0.00024136655481675172,0.0008248688386771901,0.006015051111002494,0.0002400805795831083
1.75,17.5,0.06344677500260355,0.9946112578963341,0.0005105245116066617,0.0008293746638151456,0.006518451448063108,0.00028030460075506434,0.000824868838568184,0.006483401585780082,0.00027880919602464506
1.875,18.75,0.06799868416930027,0.9946113652893392,0.0006075609877550331,0.0008293745738643071,0.006989263199530085,0.0003221336660421272,0.0008248688386883302,0.0069517183696618245,0.00032041346977372016
2.0,20.0,0.07151666487960476,0.9946114749853768,0.0007069444678653159,0.0008293744819386943,0.007460021036995429,0.0003668496301239756,0.0008248688386655364,0.0074199995265457645,0.00036488941068467905
