time,t_data,ERK_data,NN_approx,NN_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.003063447283848024,2.3663160114300894e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.10730795641632641,2.3665597301430014e-5,0.0,0.05721640887105631,0.06057295935331052,0.011540512295537944,0.0003676415463823303,8.879044511601516e-6,1.805434926794257e-11,8.377476732596486e-10,0.0572164088710563,0.06057295935331052,0.011538156670976091,0.00036748605097152625,8.872788333473845e-6,1.803707756417656e-11,8.369036625330898e-10
0.25,2.5,0.4798158280314243,2.3656832970667412e-5,0.0,0.1092448523133943,0.2024326967632952,0.07261962672808527,0.004888408991250558,0.00023538802076613626,3.642987075382672e-9,8.902368831248099e-8,0.10924485231339426,0.20243269676329517,0.07261581371793413,0.004887882516676076,0.00023534717449513547,3.6421277581448035e-9,8.90016229918594e-8
0.375,3.75,0.7338095073128035,2.372580354764308e-5,0.0,0.15515979249758438,0.37308016255921045,0.18719546784685132,0.019859589032995464,0.0014249931713423481,6.905442922029213e-8,1.2000161684334049e-6,0.15515979249758435,0.3730801625592104,0.18719073517109944,0.019858580062823396,0.0014248799171802677,6.904695965791235e-8,1.1998800407293008e-6
0.5,5.0,0.8149863599438967,2.4187344971192007e-5,0.0,0.19567958499248947,0.5347386602457365,0.33287099561789496,0.04961323429055454,0.004733110602080341,5.019262589559267e-7,7.0012965233263326e-6,0.19567958499248933,0.534738660245736,0.33286572214133237,0.04961170287941942,0.004732887864392954,5.018941679026497e-7,7.0008281273968544e-6
0.625,6.25,0.8366015090544571,2.527283260702118e-5,0.0,0.23143817636261288,0.661902874233293,0.476873994537473,0.0943774352653298,0.011324837646753674,2.165747405883445e-6,2.5883029850442043e-5,0.23143817636261296,0.6619028742332934,0.47686852694689374,0.0943754005033659,0.011324471978293803,2.1656530288519023e-6,2.5881852716256863e-5
0.75,7.5,0.8337052675954668,2.6683085773211435e-5,0.0,0.2629950224875354,0.7466804345663218,0.5920643104345713,0.15040729320399626,0.02204180078340915,6.737103623269795e-6,7.181404027461513e-5,0.2629950224875356,0.7466804345663222,0.5920589333810389,0.1504048211470486,0.022041261962624386,6.736883927427349e-6,7.181160351805815e-5
0.875,8.75,0.8275235532172213,2.7938297406282624e-5,0.0,0.2908438414481184,0.7969784996438147,0.6693011635832777,0.21213447594376988,0.03727918843164546,1.6767094184460663e-5,0.00016373897076407782,0.29084384144811853,0.7969784996438151,0.6692960253294009,0.2121316576525456,0.037278449187918575,1.6766657085059844e-5,0.00016373454342977803
1.0,10.0,0.8062616526858692,2.8854038766042184e-5,0.0,0.31542033792147195,0.8258477145196221,0.7149320586580297,0.2746335997117001,0.0570486721612803,3.5547061705437835e-5,0.00032404106839892065,0.31542033792147206,0.8258477145196225,0.7149271711767122,0.2746305276721187,0.05704770937066771,3.554628458638012e-5,0.0003240337439566234
1.125,11.25,0.7646003137918815,2.948668921489905e-5,0.0,0.33710901993558773,0.8432983555468047,0.7400406386781117,0.3347203024791448,0.0811056147437782,6.686628435009107e-5,0.0005767904318585278,0.33710901993558784,0.8432983555468048,0.7400359444125215,0.334717056967211,0.0811044114057673,6.686501515792605e-5,0.0005767791457320989
1.25,12.5,0.6990798987609994,2.9941660309501745e-5,0.0,0.356249214634187,0.854883440666669,0.7535756075393655,0.39076975423207294,0.10904964700530359,0.00011474626151587633,0.0009461914402189739,0.35624921463418724,0.854883440666669,0.7535710389414472,0.3907664005234109,0.10904819394384908,0.00011474432256176573,0.0009461750012083374
1.375,13.75,0.6100780420663768,3.0296186899022415e-5,0.0,0.37314037717056703,0.8632590954750544,0.7610329903532115,0.44214263185471403,0.14038331395897685,0.00018319609578037546,0.0014553274929957948,0.3731403771705672,0.8632590954750545,0.7610284947148901,0.4421392225461816,0.14038161072429778,0.0001831932899039006,0.0014553046261005103
1.5,15.0,0.4891123721259681,3.059506126324277e-5,0.0,0.38804677578997543,0.8696724013213183,0.7653732820141189,0.4887221507625016,0.1745467320194403,0.000276005469125609,0.0021251823649823137,0.38804677578997554,0.8696724013213185,0.7653688243001363,0.4887187287826242,0.1745447869389778,0.0002760015875090621,0.0021251517611303307
1.625,16.25,0.3517230822198445,3.0862412660825524e-5,0.0,0.40120162640029466,0.874757566873673,0.7680941664544674,0.530643706671442,0.2109432884831026,0.0003965805301397948,0.0029739107953700504,0.4012016264002947,0.8747575668736731,0.7680897249291712,0.530640307445833,0.21094111802428392,0.0003965753609261274,0.0029738711631509453
1.75,17.5,0.19695689134231506,3.111122956228725e-5,0.0,0.4128107413178644,0.8788791506984653,0.7699362497191007,0.5681580063562934,0.24896227445125232,0.0005478237362643187,0.004016340962698983,0.41281074131786444,0.8788791506984652,0.7699318111390095,0.5681546590811299,0.2489599021060188,0.0005478170731781067,0.004016291077792835
1.875,18.75,0.07425388521825049,3.1348772981846844e-5,0.0,0.4230557492743684,0.8822706730648904,0.7712675332824398,0.6015658706399866,0.28799943696099756,0.0007320560119101357,0.005263691806910618,0.42305574927436834,0.8822706730648902,0.7712630894314415,0.6015625989984783,0.28799689183912813,0.0007320476622246772,0.005263630555908694
2.0,20.0,0.01523610438341505,3.1579296572328806e-5,0.0,0.4320969370629375,0.8850932103103587,0.7722756866787385,0.6311872265409577,0.32747499587477924,0.0009509774658921861,0.0067234824798388295,0.43209693706293745,0.8850932103103587,0.772271232220642,0.6311840491630636,0.32747231115358866,0.0009509672572626584,0.00672340889621872
2.125,21.25,0.009565649701825382,3.18053352775516e-5,0.0,0.4400757572820355,0.8874632571874028,0.773060442574993,0.6573454728098411,0.36684862557415715,0.001205661464415182,0.008399605569848137,0.4400757572820354,0.8874632571874028,0.7730559738164524,0.6573424036597857,0.36684583691690453,0.0012056492502711086,0.00839951886083201
