time,t_data,ERK_data,NN1,NN2,NN1_GT,NN2_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0,0.7619348086042923,0.4774323477424997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.125,0.00024742813373800033,0.8631714621697006,0.49961598011797176,0.9999999999970256,3.492682139077425e-7,0.9361782531622272,0.853103086134729,0.23612258216324453,0.010506403662319256,0.0003270880015013398,1.2918545545801304e-7,7.068917624050857e-7,0.9361782531622274,0.8531030861347291,0.22278092576017694,0.008930752308109906,0.00024742813373800033,8.623230252774352e-8,4.716827110516148e-7
0.25,0.25,0.003453751629125977,0.8111283385705936,0.4587228423148415,0.999999996432236,1.2059126855696115e-5,0.9785672311096301,0.9497006306415329,0.5278857615089946,0.05737579123335183,0.0037362942881249738,3.3883941430962594e-6,1.8626417718338327e-5,0.97856723110963,0.9497006306415329,0.5287078234133414,0.055150289988028775,0.003453751629125977,2.986538151629956e-6,1.6420000728346232e-5
0.375,0.375,0.012313039035450274,0.7816925733881053,0.433199309933762,0.9999998721912136,7.146311843888587e-5,0.9803168331811495,0.9510825355635493,0.6713954251609832,0.12464988134699732,0.012728361499649208,1.900356119005974e-5,0.00010445712788435354,0.9803168331811495,0.9510825355635494,0.6803487959396287,0.12329708422126326,0.012313039035450274,1.7875178512567684e-5,9.8265036973815e-5
0.5,0.5,0.02709813754676216,0.7695975268376403,0.4203462151590903,0.9999987146725902,0.00022465013020581465,0.9803890478831038,0.9511058752212499,0.7378174450621661,0.19684263071271815,0.027512386442272774,5.867016528617625e-5,0.00032219038035717374,0.9803890478831038,0.95110587522125,0.7459136317102318,0.19659102959507807,0.02709813754676216,5.668617692897131e-5,0.00031132215616918994
0.625,0.625,0.047237248008450715,0.7637850832203015,0.4134575206884258,0.9999931549228458,0.0005155661284242336,0.9803920285398292,0.9511064900318044,0.7676914709864596,0.2669987986651373,0.04756637404055467,0.00013355634649444217,0.0007326126479220483,0.9803920285398294,0.9511064900318044,0.7724894810157943,0.2674363925904303,0.047237248008450715,0.00013081593948811854,0.0007176364373799541
0.75,0.75,0.07207903580275307,0.7606679879092415,0.4097492024423754,0.9999749284405806,0.0009835480871042716,0.9803921515662257,0.9511065118277805,0.7807591543095631,0.3323452574301397,0.0722949922172181,0.0002536488136745743,0.0013897334554946832,0.9803921515662258,0.9511065118277804,0.7829485790160423,0.33307002924301676,0.07207903580275307,0.0002503606799109451,0.0013718161946493076
0.875,0.875,0.10101293788909467,0.7591174406020946,0.40811709680172775,0.9999280507496764,0.0016627884860918878,0.9803921566441316,0.9511065126906444,0.7863520797988102,0.3919921970256222,0.10111906127550754,0.0004277363483921749,0.002340742793216563,0.9803921566441316,0.9511065126906443,0.787040863180421,0.3927682726855298,0.10101293788909467,0.0004241297778706386,0.002321158203458041
1.0,1.0,0.13343855103276495,0.758661116654358,0.40802531443945694,0.9998259466002359,0.002582327286698863,0.9803921568537217,0.9511065127258815,0.788772420386762,0.44585549662212404,0.13345079513768357,0.0006634216847735208,0.003626136645271883,0.9803921568537218,0.9511065127258814,0.7886721716410272,0.44657258915298764,0.13343855103276495,0.0006597039101441733,0.0036060301501881263
1.125,1.125,0.1687394295314305,0.7589588395325645,0.4091083448114792,0.9996288613863737,0.0037661221255906705,0.9803921568623727,0.951106512727332,0.7899544056432894,0.4941774399739016,0.16867731873994646,0.0009670854669202279,0.005279586572188683,0.9803921568623726,0.951106512727332,0.7893647242523375,0.4947883684952217,0.1687394295314305,0.0009634267079518057,0.005259893850350889
1.25,1.25,0.20628066414088198,0.7596784992204543,0.4110469910012622,0.9992818811368223,0.005233044152970771,0.9803921568627297,0.9511065127273919,0.7907260946451036,0.5373210273199065,0.20616414715247056,0.0013438382155395003,0.0073277479110226374,0.9803921568627297,0.9511065127273919,0.7897018568565958,0.5378024816888881,0.20628066414088198,0.0013403683528004995,0.00730917792967726
