time,t_data,ERK_data,NN1,NN2,NN3,NN1_GT,NN2_GT,NN3_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.004839500167237968,0.18073910500670848,0.08450742441830837,0.8567227677512147,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.13802723111712886,0.27313104137004746,0.10372370795813059,0.9318217917044065,1.0,2.3916375378241846e-9,1.0,0.11109380570897293,0.11723260969847946,0.01475486613094028,0.0007512924683351747,2.7092312542019213e-5,2.691501678218601e-10,6.7698135969878075e-9,0.11109380570897304,0.11723260969847915,0.022492159583270745,0.0007211190599507267,1.748077738537341e-5,1.3382287477398398e-10,3.2214722956827065e-9
0.25,2.5,0.519955411902426,0.7258425204092217,0.16417266648124493,0.9862080783860805,0.9999999999997587,2.4264364626432224e-7,1.0,0.20608058766189652,0.3701257994661255,0.08664109587835489,0.005702302754838873,0.00030512083012511863,1.8700242397112875e-8,2.550594855594662e-7,0.20608058766189646,0.37012579946612373,0.13489834557300093,0.009272194365975955,0.0004519236623521098,2.4562588959195975e-8,3.2726459400542956e-7
0.375,3.75,0.7522086549145881,0.9925057055713556,0.26864097307629675,0.7776730545389641,0.9999999999297222,3.094422305332321e-6,1.0,0.28482739574317384,0.6200687676342914,0.306727860692296,0.027920091992716715,0.001857903178024028,2.8519791951014085e-7,2.857864967362978e-6,0.28482739574317384,0.6200687676342953,0.3208843299338729,0.03574281057202271,0.002635524750461752,4.1915935656251315e-7,4.18665036389459e-6
0.5,5.0,0.8196255718258684,0.8363232700178704,0.38830083177366764,0.7787560133532843,0.9999999970272467,1.6905414344156043e-5,1.0,0.3501107926063168,0.780526509963619,0.5436062105833407,0.07751619212252875,0.006971083508397592,2.104349639461525e-6,1.7666379136458668e-5,0.35011079260631633,0.7805265099636276,0.5077182141730038,0.0829058746587169,0.008319773794332724,2.7261480424267564e-6,2.2998431525454613e-5
0.625,6.25,0.8400469041950315,0.5298817960968372,0.5105654353297083,0.8280347173063461,0.99999995587953,5.804294972272381e-5,1.0,0.4042326295395886,0.8527991980687206,0.6493595630392411,0.14271275185398974,0.017335150864738323,9.057803171164608e-6,6.820290309005609e-5,0.40423262953958866,0.8527991980687315,0.6394656363087058,0.14457123477549488,0.018736378932221926,1.0502436856576769e-5,7.953715228724748e-5
0.75,7.5,0.8372168477855436,0.4412377319678876,0.5745649153417048,0.8065761074746972,0.999999657612499,0.0001492903102665429,1.0,0.44910120828668276,0.8814774057789608,0.690573462951297,0.20922671874018073,0.032909129488058464,2.6842469207385708e-5,0.0001881259009028005,0.4491012082866827,0.881477405778964,0.7127218783905733,0.21181038473864283,0.03426051681948177,2.9256948675272988e-5,0.00020598270304233792
0.875,8.75,0.8410973985947964,0.431641870767144,0.5794935886514241,0.7642762947261674,0.9999982735412554,0.00031690198443814067,1.0,0.486298566559394,0.8948827594213822,0.7202623689848621,0.2731650352763783,0.05311921829302008,6.210069456814773e-5,0.0004139663697051627,0.4862985665593941,0.8948827594213848,0.748634673504147,0.27828936634666035,0.054697175115818245,6.569744525707869e-5,0.00043934561585194
1.0,10.0,0.8397498549500434,0.4492440571308959,0.5348340490053294,0.7224337231898854,0.999993556633973,0.0005880287934312388,1.0,0.5171362596868602,0.9028742926736185,0.7466739420395072,0.33387829686207215,0.07753549765230972,0.00012166571886299354,0.0007819202676921956,0.5171362596868604,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416836,0.00012691933997723473,0.0008174674119632697
1.125,11.25,0.8330045512398548,0.4844478449305743,0.4517836345829527,0.688016154972209,0.9999806725881112,0.0009886609791429554,1.0,0.5427016052270413,0.9083683185122039,0.7688420341881529,0.391000238840969,0.10580903039275637,0.0002122055720025024,0.0013267328637455212,0.5427016052270414,0.9083683185122093,0.7734190585132465,0.3983698008981138,0.10849697369966664,0.00021981688654893679,0.0013763931701233003
