time,NN_approx,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,68.52133992057524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,93.00522329714745,0.9361782531619397,0.8531030861333143,1.9141407901626855,0.20347439634131523,0.01094344174513887,6.228389884835014e-6,3.411981300340837e-5,0.9361782531622274,0.8531030861347291,0.22278092576017694,0.008930752308109906,0.00024742813373800033,8.623230252774352e-8,4.716827110516148e-7
0.25,93.41948619126185,0.9785672311096187,0.9497006306415168,1.905462863843038,0.3856770881649287,0.04154495292614959,5.614256248610613e-5,0.00030826970023055216,0.97856723110963,0.9497006306415329,0.5287078234133414,0.055150289988028775,0.003453751629125977,2.986538151629956e-6,1.6420000728346232e-5
0.375,93.81634932901899,0.9803168331811505,0.9510825355635532,1.9057097807358194,0.5324049785947833,0.08546403062458438,0.0001823761202838677,0.0010012243917709466,0.9803168331811495,0.9510825355635494,0.6803487959396287,0.12329708422126326,0.012313039035450274,1.7875178512567684e-5,9.8265036973815e-5
0.5,93.7647964397924,0.9803890478831061,0.9511058752212517,1.9056674585309468,0.646991295312881,0.13869036042610516,0.00040717262669668687,0.0022330358982289235,0.9803890478831038,0.95110587522125,0.7459136317102318,0.19659102959507807,0.02709813754676216,5.668617692897131e-5,0.00031132215616918994
0.625,92.93517440558334,0.98039202853983,0.9511064900318046,1.9049062111996127,0.7333694606940714,0.19772829445487905,0.000745560602839882,0.004083818461581482,0.9803920285398294,0.9511064900318044,0.7724894810157943,0.2674363925904303,0.047237248008450715,0.00013081593948811854,0.0007176364373799541
0.75,90.66289362056833,0.980392151566226,0.9511065118277804,1.902742639464963,0.7962568835104626,0.2594451981969958,0.0012058702050239194,0.006596701184514467,0.9803921515662258,0.9511065118277804,0.7829485790160423,0.33307002924301676,0.07207903580275307,0.0002503606799109451,0.0013718161946493076
0.875,85.98530909051766,0.9803921566441316,0.9511065126906444,1.897950906342755,0.8406162657241801,0.3212472515857997,0.0017906151276190537,0.009782937627929386,0.9803921566441316,0.9511065126906443,0.787040863180421,0.3927682726855298,0.10101293788909467,0.0004241297778706386,0.002321158203458041
1.0,78.13285398378366,0.9803921568537218,0.9511065127258815,1.8887328375667214,0.8710545193721373,0.3811728203961018,0.0024977028691144953,0.013628791998483407,0.9803921568537218,0.9511065127258814,0.7886721716410272,0.44657258915298764,0.13343855103276495,0.0006597039101441733,0.0036060301501881263
1.125,66.91675536282989,0.9803921568623726,0.951106512727332,1.8722353046383655,0.8914212891386579,0.43786448647054027,0.0033217065135185686,0.0181026769591806,0.9803921568623726,0.951106512727332,0.7893647242523375,0.4947883684952217,0.1687394295314305,0.0009634267079518057,0.005259893850350889
1.25,52.5397497628455,0.9803921568627297,0.9511065127273919,1.8423055809180533,0.9046521115724971,0.4904706088921953,0.004254997442295467,0.02316143602889834,0.9803921568627297,0.9511065127273919,0.7897018568565958,0.5378024816888881,0.20628066414088198,0.0013403683528004995,0.00730917792967726
1.375,34.02148878840922,0.9803921568627445,0.9511065127273943,1.775678442245795,0.9127118953331325,0.5385246040573572,0.005288649183166033,0.028755295361920105,0.9803921568627445,0.9511065127273943,0.789900777360194,0.5760199115154901,0.24542103770838541,0.001794300920917516,0.009773214259140049
1.5,0.02925935184668571,0.9803921568627451,0.9511065127273944,1.3520919929409483,0.9151172444343418,0.581799784577363,0.006413083317196663,0.03483135168228907,0.9803921568627451,0.9511065127273944,0.7900351308801332,0.6098421908140969,0.2855305507251338,0.0023277049584993713,0.01266433943665141
