time,t_data,ERK_data,NN1,NN2,NN1_GT,NN2_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0,1.004041554145444,0.01363657607159766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.125,1.748077738537341e-5,0.9892451392332152,0.04644002295586981,1.0,2.3916375378241846e-9,0.11109380570897304,0.11723260969847916,0.025125139246034326,0.0008610275390032199,2.252447213359788e-5,1.836106743356469e-10,4.47133295398842e-9,0.11109380570897304,0.11723260969847915,0.022492159583270745,0.0007211190599507267,1.748077738537341e-5,1.3382287477398398e-10,3.2214722956827065e-9
0.25,0.25,0.0004519236623521098,0.958033166031236,0.1449461343369706,0.9999999999997587,2.4264364626432224e-7,0.20608058766189644,0.37012579946612306,0.1424180391614893,0.009999218514813767,0.000498684323732521,2.767705526397718e-8,3.7005723325881117e-7,0.20608058766189646,0.37012579946612373,0.13489834557300093,0.009272194365975955,0.0004519236623521098,2.4562588959195975e-8,3.2726459400542956e-7
0.375,0.375,0.002635524750461752,0.8931813134241396,0.28428405807846446,0.9999999999297222,3.094422305332321e-6,0.2848273957431744,0.6200687676342982,0.3307101186226278,0.037537254713916286,0.0028069387836790775,4.518136429298554e-7,4.520498326952794e-6,0.28482739574317384,0.6200687676342953,0.3208843299338729,0.03574281057202271,0.002635524750461752,4.1915935656251315e-7,4.18665036389459e-6
0.5,0.5,0.008319773794332724,0.8228909858046989,0.36974104057076074,0.9999999970272467,1.6905414344156043e-5,0.35011079260631645,0.7805265099636289,0.5091291176619457,0.08529008789421481,0.008687431830764595,2.877979749943511e-6,2.430768207052638e-5,0.35011079260631633,0.7805265099636276,0.5077182141730038,0.0829058746587169,0.008319773794332724,2.7261480424267564e-6,2.2998431525454613e-5
0.625,0.625,0.018736378932221926,0.7796376252947096,0.4029677114868524,0.99999995587953,5.804294972272381e-5,0.4042326295395885,0.8527991980687324,0.6310326627702908,0.14630023556478977,0.019257645052667836,1.0920703111253068e-5,8.27874237991307e-5,0.40423262953958866,0.8527991980687315,0.6394656363087058,0.14457123477549488,0.018736378932221926,1.0502436856576769e-5,7.953715228724748e-5
0.75,0.75,0.03426051681948177,0.7587254363526249,0.41530815970400997,0.999999657612499,0.0001492903102665429,0.4491012082866827,0.8814774057789654,0.7012998830267856,0.21225228044638025,0.03480425740789209,3.0063450563240895e-5,0.00021184940745317573,0.4491012082866827,0.881477405778964,0.7127218783905733,0.21181038473864283,0.03426051681948177,2.9256948675272988e-5,0.00020598270304233792
0.875,0.875,0.054697175115818245,0.7501141555781772,0.42023603549184735,0.9999982735412554,0.00031690198443814067,0.4862985665593938,0.8948827594213847,0.7390389937165587,0.2775918261532199,0.055137767267166855,6.691436520985847e-5,0.00044782849650534524,0.4862985665593941,0.8948827594213848,0.748634673504147,0.27828936634666035,0.054697175115818245,6.569744525707869e-5,0.00043934561585194
1.0,1.0,0.07961534115416836,0.7481745505966642,0.42202455892159724,0.999993556633973,0.0005880287934312388,0.5171362596868602,0.9028742926736214,0.7590450960948383,0.3394644877604066,0.07987677655552078,0.00012845828411617042,0.0008279123857568218,0.5171362596868604,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416836,0.00012691933997723473,0.0008174674119632697
1.125,1.125,0.10849697369966664,0.7500762153932112,0.422146062505163,0.9999806725881112,0.0009886609791429554,0.5427016052270411,0.9083683185122106,0.7699645998537117,0.39665650987448536,0.10855192776675615,0.00022150980642722783,0.0013877222560356181,0.5427016052270414,0.9083683185122093,0.7734190585132465,0.3983698008981138,0.10849697369966664,0.00021981688654893679,0.0013763931701233003
