time,t_data,ERK_data,NN1,NN2,NN1_GT,NN2_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0,0.7987791686319567,0.23144066571712626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.125,1.748077738537341e-5,0.7977027413516772,0.24614742496420672,1.0,2.3916375378241846e-9,0.11109380570897304,0.11723260969847932,0.0415917281399905,0.0021149874402731296,7.560253856071115e-5,7.468816212725838e-10,1.8768617060869033e-8,0.11109380570897304,0.11723260969847915,0.022492159583270745,0.0007211190599507267,1.748077738537341e-5,1.3382287477398398e-10,3.2214722956827065e-9
0.25,0.25,0.0004519236623521098,0.7947232295856596,0.3049858083772691,0.9999999999997587,2.4264364626432224e-7,0.20608058766189646,0.37012579946612345,0.14992204443336338,0.012834000146810099,0.0007731867210997394,4.978064886433892e-8,6.814670823618702e-7,0.20608058766189646,0.37012579946612373,0.13489834557300093,0.009272194365975955,0.0004519236623521098,2.4562588959195975e-8,3.2726459400542956e-7
0.375,0.375,0.002635524750461752,0.7836556858900963,0.40761143812355644,0.9999999999297222,3.094422305332321e-6,0.28482739574317384,0.620068767634296,0.319980425580161,0.03991243120873477,0.0033095944899220785,5.872492613654431e-7,5.9628205711331604e-6,0.28482739574317384,0.6200687676342953,0.3208843299338729,0.03574281057202271,0.002635524750461752,4.1915935656251315e-7,4.18665036389459e-6
0.5,0.5,0.008319773794332724,0.7536751712880477,0.49423475390087174,0.9999999970272467,1.6905414344156043e-5,0.35011079260631633,0.7805265099636293,0.4931837576952334,0.08577278299976748,0.009220176497598785,3.2479208198125935e-6,2.7681366517880084e-5,0.35011079260631633,0.7805265099636276,0.5077182141730038,0.0829058746587169,0.008319773794332724,2.7261480424267564e-6,2.2998431525454613e-5
0.625,0.625,0.018736378932221926,0.7191158856967717,0.5469959600248777,0.99999995587953,5.804294972272381e-5,0.4042326295395886,0.852799198068732,0.6202664461965083,0.14520046654056207,0.019627714720007343,1.1558675602097392e-5,8.811360341417185e-5,0.40423262953958866,0.8527991980687315,0.6394656363087058,0.14457123477549488,0.018736378932221926,1.0502436856576769e-5,7.953715228724748e-5
0.75,0.75,0.03426051681948177,0.6904750051548398,0.5818364615943313,0.999999657612499,0.0001492903102665429,0.44910120828668276,0.8814774057789652,0.6972181548691417,0.210466244261732,0.03493460305520723,3.0878005166138376e-5,0.00021835185031764703,0.4491012082866827,0.881477405778964,0.7127218783905733,0.21181038473864283,0.03426051681948177,2.9256948675272988e-5,0.00020598270304233792
0.875,0.875,0.054697175115818245,0.6682053374277693,0.6077853235222155,0.9999982735412554,0.00031690198443814067,0.486298566559394,0.8948827594213843,0.7399376015094277,0.27583129578635296,0.055042902157016994,6.773741458344347e-5,0.00045435648955800926,0.4862985665593941,0.8948827594213848,0.748634673504147,0.27828936634666035,0.054697175115818245,6.569744525707869e-5,0.00043934561585194
1.0,1.0,0.07961534115416836,0.6508665849748281,0.6284097039829318,0.999993556633973,0.0005880287934312388,0.5171362596868605,0.9028742926736223,0.762891023415551,0.33812164502153347,0.07961618182628959,0.0001291109545799035,0.0008333501524533811,0.5171362596868604,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416836,0.00012691933997723473,0.0008174674119632697
1.125,1.125,0.10849697369966664,0.6372592800890636,0.6454048050612091,0.9999806725881112,0.0009886609791429554,0.5427016052270414,0.9083683185122111,0.7751405285402136,0.39587309194941617,0.10819840117192578,0.00022185067861859792,0.0013912429816778146,0.5427016052270414,0.9083683185122093,0.7734190585132465,0.3983698008981138,0.10849697369966664,0.00021981688654893679,0.0013763931701233003
1.25,1.25,0.14077638232657974,0.6265107724847057,0.6597145933521549,0.9999508060384708,0.0015422483436554018,0.563896021096195,0.9123920093921815,0.7817419829393145,0.44855905502408344,0.14025406828331352,0.00035229076773315705,0.002160838119074945,0.5638960210961951,0.9123920093921822,0.7773813066865475,0.45052362966919596,0.14077638232657974,0.00035070066186912094,0.002148701226156357
1.375,1.375,0.175852029504926,0.6179653832837242,0.6719104638514808,0.9998897393832713,0.002268894058295791,0.5814668089945482,0.9154356387977384,0.7853975183855252,0.49612925029837335,0.1751899413600107,0.0005259794301935486,0.0031705832081624246,0.5814668089945478,0.9154356387977362,0.7795344276882172,0.49746161928042465,0.175852029504926,0.0005250542245162079,0.003162410421889389
