time,NN_approx,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,14.449340510218608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,18.25636114455496,0.11109380570729427,0.1172326096923949,1.8866015010628243,0.11690980840982096,0.004608389136313132,4.728906555621967e-8,1.1938607071049192e-6,0.11109380570897304,0.11723260969847915,0.022492159583270745,0.0007211190599507267,1.748077738537341e-5,1.3382287477398398e-10,3.2214722956827065e-9
0.25,18.304835307561742,0.20608058766050472,0.37012579946023244,1.8191761162586697,0.3113477817356535,0.027752451152401523,2.1355237635784435e-6,2.987617750228303e-5,0.20608058766189646,0.37012579946612373,0.13489834557300093,0.009272194365975955,0.0004519236623521098,2.4562588959195975e-8,3.2726459400542956e-7
0.375,18.14614742788906,0.28482739574201993,0.6200687676306202,1.7253405292231305,0.4614265544453232,0.06560831297281786,1.5270038832977027e-5,0.00016029985318241147,0.28482739574317384,0.6200687676342953,0.3208843299338729,0.03574281057202271,0.002635524750461752,4.1915935656251315e-7,4.18665036389459e-6
0.5,17.626346027951033,0.35011079260536,0.7805265099942544,1.6669893859720024,0.5769229916007114,0.11315389515659192,5.456849787155005e-5,0.0004824708947496108,0.35011079260631633,0.7805265099636276,0.5077182141730038,0.0829058746587169,0.008319773794332724,2.7261480424267564e-6,2.2998431525454613e-5
0.625,16.69459559889102,0.4042326295387956,0.8527991981610843,1.6314520745038703,0.6656171884650038,0.1670195324278036,0.00013674387244241648,0.0010805260166197816,0.40423262953958866,0.8527991980687315,0.6394656363087058,0.14457123477549488,0.018736378932221926,1.0502436856576769e-5,7.953715228724748e-5
0.75,15.382188970338948,0.44910120828602607,0.8814774058803122,1.6017930460275434,0.7328889841257304,0.22445708087909846,0.00027671354042480163,0.0020231239702005383,0.4491012082866827,0.881477405778964,0.7127218783905733,0.21181038473864283,0.03426051681948177,2.9256948675272988e-5,0.00020598270304233792
0.875,13.645961021672495,0.48629856655884957,0.8948827596047835,1.5664118009339965,0.7828130003574159,0.2831328560406753,0.0004858307088402285,0.0033591397181848416,0.4862985665593941,0.8948827594213848,0.748634673504147,0.27828936634666035,0.054697175115818245,6.569744525707869e-5,0.00043934561585194
1.0,11.26679653769602,0.5171362596864081,0.9028742930202378,1.5139938620547042,0.8187750423964983,0.3411340097506558,0.0007713318344378154,0.005116948431872849,0.5171362596868604,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416836,0.00012691933997723473,0.0008174674119632697
1.125,7.511840044155039,0.5427016052266662,0.9083683188709402,1.4160411977838863,0.8433388094051026,0.3969700768906043,0.0011365375530540008,0.007306137878578097,0.5427016052270414,0.9083683185122093,0.7734190585132465,0.3983698008981138,0.10849697369966664,0.00021981688654893679,0.0013763931701233003
1.25,1.2599818965086438,0.5638960210958837,0.9123920100727223,1.1757235484055946,0.8571751748134371,0.44948974052747054,0.0015814097336919314,0.009920387204674008,0.5638960210961951,0.9123920093921822,0.7773813066865475,0.45052362966919596,0.14077638232657974,0.00035070066186912094,0.002148701226156357
1.375,-1.019110977880182,0.5814668089942896,0.9154356392363986,0.8752477544671291,0.8595897709782317,0.4977155552146629,0.0021031285098810477,0.012940150926313666,0.5814668089945478,0.9154356387977362,0.7795344276882172,0.49746161928042465,0.175852029504926,0.0005250542245162079,0.003162410421889389
1.5,-1.2021560220633003,0.5960335037914398,0.9177858968229656,0.7236848112080354,0.8552995999947705,0.5410691770182009,0.0026966867504527705,0.01633544843115342,0.5960335037916544,0.9177858957043223,0.7808405278262658,0.5394677191104348,0.21309931244554997,0.0007473877647149402,0.0044403009218858345
1.625,-1.238270652702165,0.6081097179339208,0.919627873835453,0.6543811344304643,0.8485981864475336,0.5795583198112445,0.0033558359340830272,0.020070763505615395,0.6081097179341028,0.9196278680567708,0.7817249716118055,0.5768835625110179,0.2518875393258679,0.0010211660516311818,0.00599957961354137
1.75,-1.2520342449801267,0.618121251095417,0.9210877848782096,0.6216732666916626,0.8413137729531551,0.6134783807671693,0.004073916215587011,0.0241093018612361,0.6181212510955741,0.9210877754987777,0.7823791925651457,0.6100687190137611,0.2915983188192819,0.0013487955525852053,0.007851839038181919
1.875,-1.2600302838101125,0.6264211036039256,0.9222549864116573,0.6056141281406682,0.8342079567204235,0.643222898354854,0.00484433094050881,0.028415286503459168,0.6264211036040628,0.9222549789488909,0.7828910782160384,0.6393835943687275,0.3316427445833159,0.001731658004689907,0.010003255607795244
2.0,-1.2658554742251116,0.633301923010079,0.923194587499917,0.5971530802756027,0.8275809602368817,0.669206909508145,0.005660803888634757,0.032955121920376154,0.6333019230102025,0.9231945789305793,0.7833009439265007,0.6651809716356861,0.3714759170019916,0.0021701789344111735,0.012454970588391229
2.125,-1.2704038025013882,0.6390063226547184,0.9239551028351051,0.5921029502609068,0.8215231928561786,0.691834499645329,0.006517513425537566,0.03769795162734636,0.6390063226548333,0.923955093483014,0.7836258942558683,0.6878008967664052,0.41060822592584256,0.0026639208822179243,0.015203600106425182
2.25,-1.2739649417927743,0.643735436061858,0.9245733660429868,0.5885102012748196,0.8160305377088272,0.7114849650585195,0.007409153245047345,0.042615868480819594,0.6437354360619698,0.9245733553467598,0.7838708000849787,0.7075670529786181,0.448613314330896,0.0032116925229514377,0.018241826788971672
2.375,-1.2766946889434176,0.6476560087795491,0.9250777652597307,0.5854552931159421,0.8110588196385933,0.7285073433133454,0.00833094843785946,0.04768392070255143,0.6476560087796635,0.925077751950245,0.7840335728617903,0.7247840505293451,0.4851328824267904,0.0038116663320524177,0.021559033407781838
2.5,-1.2787094564823944,0.6509062777224526,0.9254904573111647,0.5824993684871773,0.8065494028450255,0.7432188481382938,0.009278644391396746,0.052879997706247565,0.6509062777225751,0.9254904358248127,0.7841079619225803,0.7397354866109799,0.5198785969541436,0.004461498802935115,0.025141946544429045
2.625,-1.280100689088165,0.6536008453180372,0.9258289077377474,0.5794288963081387,0.8024409327355922,0.7559051997878623,0.010248479553150261,0.058184647415088664,0.6536008453181664,0.9258288728296775,0.7840852304831701,0.7526827355719874,0.5526314187185748,0.005158448413458523,0.028975265086733763
2.75,-1.280937080784941,0.6558347203156877,0.9261069901036052,0.5761377697442087,0.7986744811636416,0.7668219224431779,0.011237149193704183,0.0635808579177678,0.6558347203158169,0.9261069516161553,0.7839552816261661,0.7638644257536403,0.5832386932523721,0.005899487569413066,0.03304225412570789
2.875,-1.2812672374981355,0.6576866677351108,0.9263358131963416,0.5725725973598084,0.7951955959445742,0.7761961560850112,0.012241764860923942,0.06905382477302414,0.6576866677352444,0.9263357947014735,0.7837074766540195,0.773496529373759,0.611609380605863,0.00668140565024297,0.037325289679369426
3.0,-1.2811234697255618,0.659221986071127,0.9265243753034187,0.5687069997034866,0.7919549239834598,0.7842287401569834,0.013259812617869817,0.07459071783770749,0.6592219860712887,0.9265243618688052,0.7833312507158577,0.7817729663463012,0.6377078313168495,0.007500901083438346,0.04180634386679195
