time,t_data,ERK_data,NN1,NN2,NN3,NN1_GT,NN2_GT,NN3_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.00160342705106928,0.6324506290180228,0.013571062331518701,0.7087813955364957,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.13986553135759855,0.8302152985810953,0.0011783983551605275,0.8340285894647654,1.0,2.3916375378241846e-9,1.0,0.11109380570897304,0.11723260969847916,0.018420944283037814,0.0006001366744183854,1.5361403612646252e-5,1.2448850996827608e-10,3.0336911453750227e-9,0.11109380570897304,0.11723260969847915,0.022492159583270745,0.0007211190599507267,1.748077738537341e-5,1.3382287477398398e-10,3.2214722956827065e-9
0.25,2.5,0.5199040473440075,0.9899970065137148,3.455646227846471e-5,0.9433309362363084,0.9999999999997587,2.4264364626432224e-7,1.0,0.20608058766189635,0.3701257994661224,0.12803519917371506,0.008349262335566482,0.0003946698623876303,2.113319671137112e-8,2.81465244737568e-7,0.20608058766189646,0.37012579946612373,0.13489834557300093,0.009272194365975955,0.0004519236623521098,2.4562588959195975e-8,3.2726459400542956e-7
0.375,3.75,0.7505069556665551,0.9939579667342222,5.77410617815291e-6,0.9768935551913162,0.9999999999297222,3.094422305332321e-6,1.0,0.2848273957431738,0.6200687676342981,0.3184183116388225,0.034362896437908894,0.0024625010093450805,3.828408428672333e-7,3.8154495182514165e-6,0.28482739574317384,0.6200687676342953,0.3208843299338729,0.03574281057202271,0.002635524750461752,4.1915935656251315e-7,4.18665036389459e-6
0.5,5.0,0.8211022257355653,0.9882862894572068,3.939460663975834e-6,0.9858102314797412,0.9999999970272467,1.6905414344156043e-5,1.0,0.35011079260631645,0.7805265099636293,0.5056183204427736,0.08139228528024883,0.008031919400605237,2.5874762565371977e-6,2.1787463913598627e-5,0.35011079260631633,0.7805265099636276,0.5077182141730038,0.0829058746587169,0.008319773794332724,2.7261480424267564e-6,2.2998431525454613e-5
0.625,6.25,0.838820383237492,0.9906563446680013,3.940121105090154e-6,0.9886558447115408,0.99999995587953,5.804294972272381e-5,1.0,0.4042326295395888,0.8527991980687323,0.6376482683571251,0.1429601179898889,0.018339985093131863,1.0162672978489096e-5,7.686204745806998e-5,0.40423262953958866,0.8527991980687315,0.6394656363087058,0.14457123477549488,0.018736378932221926,1.0502436856576769e-5,7.953715228724748e-5
0.75,7.5,0.8392508924928559,0.993649587338973,4.311846820233973e-6,0.9895399702925031,0.999999657612499,0.0001492903102665429,1.0,0.4491012082866829,0.8814774057789644,0.7119197822597538,0.21020392942813357,0.033758136457993464,2.859553961777921e-5,0.00020114192619511475,0.4491012082866827,0.881477405778964,0.7127218783905733,0.21181038473864283,0.03426051681948177,2.9256948675272988e-5,0.00020598270304233792
0.875,8.75,0.8392920976805051,0.9960625914945169,4.8859023093074e-6,0.9895832490819392,0.9999982735412554,0.00031690198443814067,1.0,0.4862985665593941,0.8948827594213853,0.7488847975053969,0.27680928424411627,0.05409746310674328,6.458142233720953e-5,0.0004316023006870583,0.4862985665593941,0.8948827594213848,0.748634673504147,0.27828936634666035,0.054697175115818245,6.569744525707869e-5,0.00043934561585194
1.0,10.0,0.8365426079891835,0.9978667377600745,5.6491867435103805e-6,0.9891097295100048,0.999993556633973,0.0005880287934312388,1.0,0.5171362596868603,0.9028742926736204,0.7665450315040735,0.33960259139326465,0.07893492262845168,0.0001252170043384952,0.0008061185787775639,0.5171362596868604,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416836,0.00012691933997723473,0.0008174674119632697
1.125,11.25,0.83127045369904,0.9991122238024392,6.636733852842165e-6,0.9881771730029306,0.9999806725881112,0.0009886609791429554,1.0,0.5427016052270414,0.9083683185122089,0.7751376816087608,0.39735848035264065,0.10775847853687026,0.000217411479603985,0.001360838148373758,0.5427016052270414,0.9083683185122093,0.7734190585132465,0.3983698008981138,0.10849697369966664,0.00021981688654893679,0.0013763931701233003
