time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,0.0010706158629003892,0.0013473127264968907,0.9904754776887524,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.08760030909791497,0.0011198891000489394,0.9904661046665515,0.003396157645993757,0.0009541226314462506,1.9944660145966097e-6,0.0034085533099989865,0.0009564242707080864,1.9981522526861727e-6
0.25,2.5,0.3183724171781949,0.0009244084165115806,0.9904607112223786,0.006773202960620358,0.0037632374682915167,1.5780127828745786e-5,0.006815804293694666,0.0037794871507279386,1.5833535157369254e-5
0.375,3.75,0.5429051515023784,0.0007705504035062772,0.9904596778015226,0.010138809150551011,0.008358671382044179,5.2705485555552096e-5,0.010220610988737477,0.008406973922814689,5.2950109545797e-5
0.5,5.0,0.6166967661884133,0.0006679604822766165,0.99046338153259,0.013497167029029882,0.01468800732347142,0.00012372498676298363,0.013620186386545474,0.014788604115896152,0.00012442380017748848
0.625,6.25,0.6216579795678866,0.000626388060026841,0.9904722006868705,0.016848732508541724,0.022714174802039595,0.00023949816627628334,0.017009496106225055,0.022886254205070487,0.00024103830147348385
0.75,7.5,0.6113573699840199,0.0006557680088803686,0.9904865121346684,0.020189978692766543,0.03241211705332841,0.0004104744051478429,0.020380776514645715,0.03267144305227129,0.00041335256605211677
0.875,8.75,0.5982641991804283,0.0007662437230379945,0.9905066833813885,0.02351316260761256,0.043764012778903884,0.0006469512243598113,0.023723157175005637,0.04412116237575669,0.000651746244579779
1.0,10.0,0.5814715800498241,0.0009681348412882167,0.9905330609860953,0.026806125314446958,0.056753936248013614,0.0009591000099964468,0.027022381191039918,0.057213040696974665,0.0009664360053038532
1.125,11.25,0.561909038186955,0.0012718543127408911,0.9905659569304338,0.030052150257216102,0.07136256787876633,0.0013569577923480687,0.030260624861750678,0.07192052843884625,0.0013674609609651382
1.25,12.5,0.5406730002425784,0.0016877797216700977,0.9906056341765804,0.033229908549759275,0.08756230009294329,0.0018503866852011826,0.03341642375407378,0.08820848861907195,0.0018646387735488138
1.375,13.75,0.5198387752481743,0.0022260840189065705,0.9906522924116943,0.03631352174130062,0.10531289724155772,0.002449004149051706,0.03646471592957881,0.1060293615719149,0.0024674957122914117
1.5,15.0,0.49730856892702247,0.00289653170717186,0.9907060548596983,0.03927277246518509,0.12455776977149435,0.0031620879235915067,0.039377014916613357,0.12531995258977907,0.003185174608624438
1.625,16.25,0.47704749978084715,0.003708248240842399,0.9907669570103923,0.04207349121270494,0.1452208884958371,0.003998459759112575,0.04212172543708499,0.1459988438866531,0.004026324815879664
1.75,17.5,0.4533436473698273,0.004669472733044438,0.9908349381082976,0.04467814318273506,0.16720436784504844,0.004966352276280225,0.04466461417149567,0.1679644276755269,0.004998978296295859
1.875,18.75,0.4314355842849318,0.005787306616062578,0.9909098361997085,0.04704663270330935,0.19038676608037625,0.006073263557959683,0.046969446187524445,0.19109357277949804,0.006110416012587163
2.0,20.0,0.4080123157103022,0.007067473156812013,0.990991387411754,0.04913733420276927,0.21462217162624136,0.007325804473637016,0.0489987951727387,0.21524095859324746,0.007367028969332327
2.125,21.25,0.3878575037782254,0.008514104122914144,0.9910792299083637,0.050908348398638115,0.23974015960831097,0.00872954423522656,0.05071503228740859,0.24023912919692875,0.00877417853398
2.25,22.5,0.3652537912645102,0.010129569898351606,0.9911729126355941,0.05231897070675835,0.265546706830911,0.01028886022196213,0.05208149413626687,0.26589933270557514,0.010336061033515982
2.375,23.75,0.34221087510199694,0.011914367568688206,0.991271908558448,0.053331346373804656,0.29182614456322176,0.0120067986107491,0.05306382472968973,0.29201321424248244,0.012055582016417911
2.5,25.0,0.3206351869431853,0.01386707778414504,0.9913756316510828,0.053912273968757495,0.3183442057997256,0.013884952717896363,0.053631478845372324,0.31835542383192006,0.013934245925657236
2.625,26.25,0.30030810704542416,0.015984395743169375,0.9914834564953329,0.05403510583869952,0.34485218720906224,0.015923366109599543,0.053759364151811,0.3446871818461842,0.015972067175905966
2.75,27.5,0.2773806889062922,0.01826123496832472,0.9915947390360582,0.05368168066021209,0.3710921965999215,0.01812046738886282,0.05342958578879126,0.37076081333556915,0.018167508690643694
2.875,28.75,0.25660101968514176,0.02069089555794944,0.9917088368940331,0.05284420835858947,0.39680339591486624,0.020473043043737118,0.05263323854331558,0.3963252177822779,0.020517453753244614
3.0,30.0,0.23569911576837974,0.023265282403866723,0.9918251276840931,0.051527009825761756,0.4217290797700808,0.022976253789928923,0.051372166921723375,0.42113218234907124,0.02301721648140403
3.125,31.25,0.21681063089315036,0.025975154617488522,0.9919430240334554,0.04974799115118291,0.44562435350896556,0.025623698425353295,0.04966058115991085,0.44494337549539303,0.025660595273688844
3.25,32.5,0.1995403190476286,0.0288103860578097,0.992061984414334,0.04753970324449339,0.46826409668937313,0.028407527326885073,0.04752637742567471,0.46753777655065093,0.028439972143229904
3.375,33.75,0.18105850742695717,0.03176021892374703,0.9921815194381264,0.044949803934955214,0.48945082288136543,0.031318605383497546,0.04501196549129287,0.4887192101752035,0.03134645891582252
3.5,35.0,0.16404367505031753,0.03481349773834526,0.9923011938268118,0.042040707069444155,0.5090219805404365,0.03434672143344227,0.04217436396312484,0.5083235695307091,0.034370088835901154
3.625,36.25,0.1482720875899303,0.037958878811795986,0.9924206247936369,0.03888818604989568,0.526856189629144,0.03748083825346895,0.03908429603277023,0.526225237638435,0.037500049252600504
3.75,37.5,0.1322687285702177,0.041185018703999855,0.9925394779468302,0.03557872184223076,0.5428778838487073,0.04070937397857783,0.03582403120841593,0.5423421647763594,0.04072494787087841
3.875,38.75,0.1170025159950394,0.0444807519119277,0.9926574620103409,0.032205479384688325,0.5570598422956181,0.04402050271679507,0.03248380182118971,0.5566390468019833,0.04403310175083789
4.0,40.0,0.10512112205336016,0.04783527033633558,0.9927743235954656,0.028862989359666764,0.5694231668482665,0.04740245936194467,0.029156806810246814,0.5691280964942653,0.04741283512889782
4.125,41.25,0.09191639161618798,0.05123831304079567,0.99288984295836,0.025640906130601996,0.5800344173166597,0.050843831620912765,0.025933106812384563,0.5798670335587788,0.05085276965947073
4.25,42.5,0.08202641629146812,0.054680364347142636,0.9930038311969108,0.022617555355895363,0.5889998751460634,0.054333821610811295,0.02289307164479581,0.5889541614712557,0.05434208941704986
4.375,43.75,0.07314668017321935,0.05815284441534273,0.9931161287928617,0.019854258663992236,0.5964572628326489,0.05786246063462828,0.020101354547482478,0.5965207512585169,0.057870763601178744
4.5,45.0,0.06244737752348555,0.06164826501858311,0.9932266049505128,0.01739147523944204,0.6025656471628485,0.06142076431580663,0.017602481917336925,0.6027213684684769,0.06142971285228819
4.625,46.25,0.05553818089319305,0.06516032066229134,0.9933351569693936,0.015247526144592736,0.6074945951429059,0.06500082107446807,0.015418937101489179,0.6077231598517746,0.06501091046204419
4.75,47.5,0.051239101148749744,0.06868389459919956,0.9934417089781455,0.013420100926550315,0.6114138081956303,0.06859581416086696,0.013552084096192813,0.6116953313922189,0.06860741688006283
