time,t_data,ERK_data,NN1,NN2,NN1_GT,NN2_GT,R_fit,Ras_fit,Raf_fit,MEK_fit,ERK_fit,NFB_fit,PFB_fit,R_GT,Ras_GT,Raf_GT,MEK_GT,ERK_GT,NFB_GT,PFB_GT
0.0,0.0,0.0,0.9529818805058684,0.014173432598623236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.125,1.748077738537341e-5,0.9478243007299777,0.028427617748671256,1.0,2.3916375378241846e-9,0.11109380570897301,0.11723260969847922,0.023373344594508277,0.0008000841813714434,2.0944496987444855e-5,1.7096256995862902e-10,4.165041286104391e-9,0.11109380570897304,0.11723260969847915,0.022492159583270745,0.0007211190599507267,1.748077738537341e-5,1.3382287477398398e-10,3.2214722956827065e-9
0.25,0.25,0.0004519236623521098,0.9488287503186715,0.05452787960507,0.9999999999997587,2.4264364626432224e-7,0.20608058766189644,0.37012579946612384,0.13341700339423784,0.009337764839389917,0.0004649047045954264,2.577888163453575e-8,3.44653338731861e-7,0.20608058766189646,0.37012579946612373,0.13489834557300093,0.009272194365975955,0.0004519236623521098,2.4562588959195975e-8,3.2726459400542956e-7
0.375,0.375,0.002635524750461752,0.958112852190095,0.0822735625871463,0.9999999999297222,3.094422305332321e-6,0.2848273957431738,0.6200687676342953,0.3168942305052572,0.03544823578422717,0.002634331846756156,4.2277202242515474e-7,4.229036599117754e-6,0.28482739574317384,0.6200687676342953,0.3208843299338729,0.03574281057202271,0.002635524750461752,4.1915935656251315e-7,4.18665036389459e-6
0.5,0.5,0.008319773794332724,0.9655684284887676,0.09892774173060277,0.9999999970272467,1.6905414344156043e-5,0.3501107926063164,0.7805265099636273,0.505089403328874,0.08221460773962261,0.008262295591220107,2.7174789689905014e-6,2.2941527846659522e-5,0.35011079260631633,0.7805265099636276,0.5077182141730038,0.0829058746587169,0.008319773794332724,2.7261480424267564e-6,2.2998431525454613e-5
0.625,0.625,0.018736378932221926,0.9658348904552079,0.10393827397611029,0.99999995587953,5.804294972272381e-5,0.4042326295395886,0.8527991980687318,0.6400212981422412,0.1438261296617544,0.018608886292991955,1.043852143566555e-5,7.907791666219693e-5,0.40423262953958866,0.8527991980687315,0.6394656363087058,0.14457123477549488,0.018736378932221926,1.0502436856576769e-5,7.953715228724748e-5
0.75,0.75,0.03426051681948177,0.9612344342991965,0.10595960565118694,0.999999657612499,0.0001492903102665429,0.44910120828668254,0.8814774057789646,0.715490962450014,0.21132663586525577,0.03408689683050058,2.9083024849293212e-5,0.00020478067392350319,0.4491012082866827,0.881477405778964,0.7127218783905733,0.21181038473864283,0.03426051681948177,2.9256948675272988e-5,0.00020598270304233792
0.875,0.875,0.054697175115818245,0.9545434763560876,0.10925763528604912,0.9999982735412554,0.00031690198443814067,0.486298566559394,0.8948827594213854,0.7522752517958583,0.27818927208076355,0.0545176052509707,6.537540948209026e-5,0.00043719557085982846,0.4862985665593941,0.8948827594213848,0.748634673504147,0.27828936634666035,0.054697175115818245,6.569744525707869e-5,0.00043934561585194
1.0,1.0,0.07961534115416836,0.9470891575584944,0.11413882331025453,0.999993556633973,0.0005880287934312388,0.5171362596868602,0.9028742926736198,0.7691138479649564,0.34113923391759216,0.07946873264894475,0.0001264460506954178,0.0008143872434266002,0.5171362596868604,0.9028742926736211,0.7654617531961908,0.34087117459101474,0.07961534115416836,0.00012691933997723473,0.0008174674119632697
1.125,1.125,0.10849697369966664,0.9394392026369758,0.12004067251422654,0.9999806725881112,0.0009886609791429554,0.5427016052270414,0.9083683185122089,0.7766302233909648,0.3989273448967832,0.10841321893632751,0.00021922847862221575,0.0013726295305147914,0.5427016052270414,0.9083683185122093,0.7734190585132465,0.3983698008981138,0.10849697369966664,0.00021981688654893679,0.0013763931701233003
