time,t_data,g2p_data,NN1,NN2,g1p_fit,g2p_fit,Xact_fit,g1p_GT,g2p_GT,Xact_GT
0.0,0.0,0.0008660665815201313,-0.0028228406862116,-0.10065270231025181,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1.25,0.0971567773503855,-0.0020383649167385826,-0.10027690184033923,0.003432575581091786,0.0009743885541858157,2.0265522703501123e-6,0.0034085532453648503,0.0009683480803810843,2.0168492358904467e-6
0.25,2.5,0.3440314006836999,-0.001329193946097744,-0.09987070957305488,0.006890272455425093,0.003914221535357895,1.6265668132938282e-5,0.006815800332015869,0.003872430374719317,1.6127077219964452e-5
0.375,3.75,0.5832973116120146,-0.0006879897538787362,-0.09942934824337782,0.01034540346901367,0.008830321729246322,5.5021054720678225e-5,0.010220567958025199,0.00870968317061785,5.439869133520258e-5
0.5,5.0,0.6737597595338384,-0.00010399244112011776,-0.09894676298323182,0.013776223408935138,0.015716978231333688,0.00013059387512603726,0.013619956748968008,0.015475348660025078,0.0001288607097450822
0.625,6.25,0.7014421600001007,0.0004364015834092373,-0.09841576369026661,0.017165568551271652,0.024554640474498304,0.0002551862192087396,0.01700866704786182,0.024161248113071916,0.0002514840661713406
0.75,7.5,0.7176631837479374,0.0009490092394573196,-0.0978282039065709,0.020499325884379672,0.03531213414484796,0.00044081940949950013,0.020378441094193477,0.03475419810215662,0.0004341530172962537
0.875,8.75,0.7261461606800561,0.0014512414083201397,-0.09717517522794329,0.023764910284223034,0.04794823784281739,0.000699263670842649,0.023717617423850184,0.04723414295740791,0.000688625092284741
1.0,10.0,0.7285852300331512,0.001961534926923739,-0.09644720521357375,0.026949865919436922,0.06241252180908906,0.0010419748820112153,0.027010799939777706,0.06157207607563138,0.001026478097733654
1.125,11.25,0.729488268705639,0.0024988546869975418,-0.09563445440109906,0.030040660955589583,0.07864543869619704,0.0014800338051162677,0.0302386491128678,0.07772782592155945,0.001459043179674714
1.25,12.5,0.7304219561822213,0.0030822677285233108,-0.09472691371505083,0.03302171310081455,0.09657773956973412,0.002024083419720186,0.03337780621637489,0.09564778890902746,0.001997323468992413
1.375,13.75,0.731855520582298,0.0037305804689855347,-0.09371460721320402,0.0358746652216447,0.11612934747514522,0.0026842606725195547,0.036400963498147317,0.11526269975975661,0.002651898413414658
1.5,15.0,0.7242487136615707,0.004462025082023062,-0.09258780691500086,0.038577921469068084,0.13720785467334326,0.0034701199290256023,0.039277093916591836,0.13648553925280912,0.003432814535813237
1.625,16.25,0.7176963166795401,0.005293980240892738,-0.09133726660403152,0.041106451427359976,0.15970682552585178,0.004390546542700769,0.041971853681493816,0.1592096884456595,0.004349464054783148
1.75,17.5,0.7117878503881784,0.006242713665863234,-0.08995448012895779,0.04343186966211381,0.18350409323757627,0.005453660152302845,0.0444481695014757,0.1833074465345324,0.005410453552095123
1.875,18.75,0.7008546001567861,0.00732313815385537,-0.0884319668902273,0.04552279835435099,0.20846024059747523,0.00666670853484635,0.046667020243819586,0.20862903563573862,0.006623465658802665
2.0,20.0,0.693110353622599,0.008548578317071672,-0.08676358288586522,0.047345519765276824,0.23441745454513313,0.008035954056143896,0.04858841966732376,0.2350022189550656,0.00799511753718243
2.125,21.25,0.6827562546646513,0.009930551577372711,-0.08494484991500309,0.04886492189128553,0.26119894137495825,0.009566555953664709,0.05017260287292561,0.26223265793929523,0.009530820731923894
